,Afrikaans,Albanian,Arabic,Bengali,Bosnian,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Korean,Latvian,Lithuanian,Norwegian (Bokmål),Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese,Malay,Macedonian,Tamil
Afrikaans,0.9999999999999999,0.15696987554004818,0.5355108849835208,0.24187326070079915,-0.010162546567687428,0.27941231498201824,0.251405262086148,0.41284510889783466,0.05922149486406774,0.11012489453635708,0.4900552478608379,0.39229303324307907,0.49800783020269257,0.3420672319764158,0.38615258540187636,0.45667635995016115,-1.0,0.41722491167154363,0.23679293624630532,0.40608643575310793,0.4449250014072258,0.42121306489720356,0.2705579017549915,0.15001685684979038,0.32385868014493185,0.24214635281900312,0.5090445860116352,0.34516739073676284,0.4654354551273443,0.4523504802904614,0.3032730898033615,0.30787958254699116,0.2561605760601938,0.37550173811847115,0.5007455563224279,0.3403112984941502,0.4702757817563435,0.43321859917188876,,-0.08720382766533215,0.2665066481830124,0.26601935024923884
Albanian,0.15696987554004818,1.0,0.4332398307751439,0.06601588823718275,-0.04648206288912408,0.11070176924964367,0.33695707763993155,0.09289226791857336,-0.09982515182682444,0.19880936904523833,0.25474562997706335,0.3044458052744053,0.22073577271044792,0.05622217240766762,0.23842872962174952,0.2226327694375114,-1.0,0.30090602127735827,0.36585986061410286,0.3609917775367521,0.011659105683702178,0.11899934133398994,0.34593841234976613,0.22041274436068112,0.07475292411704572,0.1984943597851751,0.27008670230881887,0.3240304111911292,0.327068863988579,0.12468595156236183,0.20814150943454313,0.13814368684230083,0.17836674498885444,0.3284381888663924,0.2644498995179041,0.12161597418659797,0.3134976565067674,0.21993752816184473,,0.09185704414074569,0.029911267755043217,-0.30551753447444324
Arabic,0.5355108849835208,0.43323983077514383,1.0,0.13470359229937764,0.23672491856194997,0.25433111558278904,0.7097667741958134,0.535528541900756,0.16165635409060689,0.12566333482837141,0.5523296523954889,0.5475747623734682,0.6122992554451363,0.3958736869307164,0.5994526138936689,0.5028676692135973,-1.0,0.6455422974541303,0.3526631292907065,0.5209555839221447,0.3507481970670672,0.4455000471921066,0.334064416252547,0.1794249835904259,0.10043752214318676,0.38544161002055394,0.6052579588631722,0.3810956798385618,0.5115940222025479,0.3305061373745135,0.35431029597436126,0.19992699617220083,0.3804818532205839,0.3408647513298375,0.5327218460689402,0.31683303785044625,0.46262050656112663,0.5530234731615922,-1.0,0.21843344786344462,0.13816535153086942,-0.20453788157971517
Bengali,0.24187326070079912,0.06601588823718275,0.13470359229937767,0.9999999999999998,0.013599886036518346,-0.09841553280273586,0.1159110364256555,-0.041868405366227955,0.0813881046047284,-0.2805109201512412,0.0948385267679218,0.099643562952571,0.07109889770995453,0.16197402471281683,0.040894560598711695,0.12037060673361942,1.0,0.18534000457989322,0.07885308620373112,0.19302395312544995,0.034384963817162766,0.30676172397668483,-0.048832176323928146,0.2458796636284836,0.1464080298622301,0.24596431891010714,0.11230353342065648,0.15312348539269457,0.13337466459307806,0.08560440266660094,0.048907556895208947,-0.020076301949640368,-0.030284115382592614,-0.007345170537390884,0.060935063077683135,0.08052392127804793,-0.11043817330508043,0.0022759228599645983,1.0,-0.025736836319203624,-0.0945517851028559,0.08651920599363347
Bosnian,-0.010162546567687428,-0.04648206288912408,0.23672491856194997,0.013599886036518346,1.0,0.0774601734223772,0.26594312275987675,0.16649825240492652,0.27097387413752444,-0.22615777345599208,0.15073880809743587,-0.061527385172616064,0.0983412642301138,0.138793580428442,0.06318894991005967,-0.12054990562038638,1.0,0.28423232259241793,-0.06723428693101018,0.12916542441390394,0.1911720093332056,0.11848080474159461,-0.08006792674902821,-0.16319807583639828,0.06582366898032872,0.33291217007404145,-0.02297304359056347,-0.07685585281987801,-0.1862872532104089,0.1441272776840276,0.15298200188398778,-0.09104239425734204,0.30674623822339264,-0.22350867229046228,0.047792861111488324,0.27837480499863526,0.10526941286236438,0.09351781272260351,,0.073396499781558,0.04565874291837758,-0.25210068676971464
Bulgarian,0.27941231498201824,0.11070176924964369,0.25433111558278904,-0.09841553280273586,0.0774601734223772,1.0,0.17970148115821796,0.3519086908902366,0.2836530425945923,0.4310956238406463,0.4953416893289023,0.48065508870154583,0.5005429699160588,0.4105605865625775,0.4090297973692287,0.4995609186107875,1.0,0.22593493877793128,0.0764983792748392,0.35978367423677027,0.5056173948856125,0.13958283917905162,0.33626645635657787,0.2584943490604295,0.41982289926646477,0.1322368900489153,0.44248450573567344,0.2762527599240729,0.5130992572968213,0.43135153547898886,0.6026942323225736,0.43104377287670115,0.2839192171594856,0.35314477033053526,0.4014981815146392,0.2993688291747238,0.18602693896057274,0.46177391688871844,-1.0,0.08913226214549665,0.2367359538120089,0.16523171798245975
Catalan,0.251405262086148,0.3369570776399316,0.7097667741958134,0.1159110364256555,0.26594312275987675,0.179701481158218,1.0,0.24801552562929846,0.535975976476001,0.23378567651079543,0.4631104355726726,0.3066775901888364,0.42385170635445424,0.2914203140203089,0.4449017793010138,0.3724333292490038,1.0,0.4358820469145782,0.3771585845040282,0.4125532852143381,0.37195283696320686,0.4334687809960727,0.4693577183602376,0.19055323691622247,0.06507740369075396,0.43003566620711686,0.448688493528753,0.3650406152527362,0.44550346614770636,0.2424709812815763,0.26754245444023633,0.2244495727605911,0.5436231041330486,0.3774028024904669,0.41727854014490673,0.3586898803817738,0.5238129790921223,0.3462502238987871,-0.9999999999999999,0.20596478350018887,0.24268868382145967,-0.13393720648434804
Chinese,0.41284510889783466,0.09289226791857336,0.5355285419007559,-0.04186840536622796,0.16649825240492655,0.3519086908902365,0.24801552562929843,1.0,0.07066293207558036,0.25073638993348885,0.5874458169419087,0.4454749466864058,0.6148918710692212,0.5100538733577956,0.556881583576272,0.6314685297161743,1.0,0.5420917445863089,0.22216138504704566,0.4333812695276236,0.4137470040063313,0.5024186327569491,0.3017529853750577,0.2768849775475939,0.3635902264873692,0.4228858643314367,0.6495970433996417,0.33610067765263446,0.5263675534113281,0.4675163764047813,0.46641030399942207,0.3066064610273372,0.2428391669910347,0.39853904150850583,0.613138505797035,0.44736107833094263,0.4472869232623198,0.4990158579921718,,0.20536889307637662,0.27852514586998756,0.022433471091335814
Croatian,0.05922149486406774,-0.09982515182682444,0.16165635409060689,0.08138810460472841,0.27097387413752444,0.2836530425945923,0.535975976476001,0.07066293207558035,0.9999999999999999,0.5858862666328135,0.237027439483477,0.005090647388311424,0.18441643035239152,0.23261830279586845,0.46525983306688734,-0.00830628426944661,,0.0664882474705581,0.5525141019859064,0.2126397199109101,-0.0016053756907103596,0.1330907637750795,0.16107536487054624,0.1505872098407621,-0.03572357072283637,0.29110865313167356,0.1417859575699279,-0.1333315941496006,0.33275163411434316,0.2790458240848298,-0.19478961768644837,0.29530274557793906,0.37596690307962966,0.20856125832133662,0.3936356298288219,0.6199820266085382,0.1855787420227494,-0.1796379512934442,,0.34997890939776855,-0.03738864382874998,-0.13772747452991643
Czech,0.11012489453635708,0.19880936904523833,0.12566333482837141,-0.2805109201512412,-0.22615777345599208,0.4310956238406463,0.23378567651079546,0.25073638993348885,0.5858862666328134,1.0,0.540702382952327,0.636553227764548,0.4923587461375291,0.37557228639876433,0.3201354912407317,0.4688306713799924,-1.0,0.18888327530443,0.45560140966147067,0.5012793492019672,0.39974891738109825,0.24306002291672468,0.4579486499246445,0.1965504921627948,0.18970828978862866,0.13213857588566047,0.3706963937888221,0.3771565257763453,0.6447059758702253,0.39814967208969027,0.46042947224104286,0.5287703450927262,0.46161706979485473,0.32018404355177493,0.5390860686441066,0.3777313030251383,0.21641188665177366,0.44214982276365267,-1.0,0.04521473856072521,0.26656067504229697,0.28091750492676937
Danish,0.4900552478608378,0.25474562997706335,0.5523296523954889,0.09483852676792182,0.15073880809743587,0.49534168932890227,0.4631104355726726,0.5874458169419087,0.237027439483477,0.540702382952327,0.9999999999999998,0.6529999986373498,0.7309919615711348,0.6191992756893868,0.6239384827902205,0.7327166637775924,-1.0,0.4803219906200599,0.38191693820251105,0.44421381246464564,0.5921872260637298,0.5699564428357214,0.538059213690277,0.3504260362175864,0.47609344959149197,0.5373078316930054,0.7191799555632568,0.4198535606719392,0.6814442203911084,0.4401129446182103,0.597348193973275,0.49179146489650377,0.4776117675773487,0.5627175530397306,0.7507679559741827,0.5388332065863821,0.6164455481370803,0.6099504656427106,-1.0,0.21729970798783202,0.2983654009231899,0.2580835032318984
Dutch,0.39229303324307907,0.3044458052744053,0.5475747623734682,0.09964356295257101,-0.06152738517261607,0.4806550887015458,0.3066775901888364,0.4454749466864058,0.005090647388311424,0.636553227764548,0.6529999986373499,0.9999999999999999,0.690202858431137,0.5507645265055593,0.5822745926595163,0.6903599535406157,-1.0,0.41720274268322655,0.4871062022268929,0.5789615235939749,0.5112618968269637,0.478920456659781,0.5489132157477388,0.4240708037503767,0.46206042432847994,0.5025796103785056,0.612151137041823,0.548629945123094,0.7744543280253965,0.5275060615676017,0.6393647469315713,0.5283662882449939,0.3136619794059556,0.4851701513202617,0.7005366337304287,0.36238678321921863,0.42922284455616483,0.6538545800794722,-1.0,0.26095520625215185,0.31886442511986596,0.36512202663994076
English,0.4980078302026926,0.2207357727104479,0.6122992554451364,0.07109889770995453,0.0983412642301138,0.5005429699160588,0.42385170635445424,0.6148918710692213,0.18441643035239155,0.4923587461375291,0.7309919615711348,0.690202858431137,0.9999999999999999,0.6274751431655522,0.7045593551403007,0.7466988518479043,-1.0,0.4495900617646461,0.4978695697595744,0.5531473685414382,0.625541198299579,0.5710289125754088,0.4896633023298388,0.3549745947593668,0.4559007734654476,0.4229503016902931,0.7092168024338833,0.4598341803190063,0.703878057168097,0.5085188278620855,0.5890959649358123,0.392810090385429,0.5029008427915141,0.4718837938272473,0.7222286705166929,0.4795803107922193,0.5296860512480657,0.5346250201610135,-1.0,0.12536255983299358,0.3670715296234091,0.2789688447046907
Estonian,0.3420672319764158,0.05622217240766763,0.39587368693071645,0.1619740247128168,0.138793580428442,0.41056058656257743,0.2914203140203089,0.5100538733577956,0.23261830279586845,0.37557228639876433,0.6191992756893868,0.5507645265055592,0.6274751431655522,1.0,0.5343658570676011,0.6080025263438218,1.0,0.40169520003048054,0.4291779477514694,0.3890558479210624,0.4740238719675221,0.5131313853908579,0.32101450264675274,0.4306370957113925,0.358388922115141,0.44771805741217946,0.5489038478326735,0.4071229092558207,0.574090318186905,0.45144739642261367,0.6281903696307415,0.27241160194649516,0.4241161353155861,0.3309981417883994,0.5407940731386353,0.40296519072764914,0.4318357043484684,0.5965871653011178,-1.0,0.21152502078690888,0.19250811348699054,0.172790490352004
