,Afrikaans,Albanian,Arabic,Bengali,Bosnian,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Korean,Latvian,Lithuanian,Norwegian (Bokmål),Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Malay,Macedonian,Tamil
Afrikaans,1,0.156969876,0.535510885,0.241873261,-0.010162547,0.279412315,0.251405262,0.412845109,0.059221495,0.110124895,0.490055248,0.392293033,0.49800783,0.342067232,0.386152585,0.45667636,0.417224912,0.236792936,0.406086436,0.444925001,0.421213065,0.270557902,0.150016857,0.32385868,0.242146353,0.509044586,0.345167391,0.465435455,0.45235048,0.30327309,0.307879583,0.256160576,0.375501738,0.500745556,0.340311298,0.470275782,0.433218599,-0.087203828,0.266506648,0.26601935
Albanian,0.156969876,1,0.433239831,0.066015888,-0.046482063,0.110701769,0.336957078,0.092892268,-0.099825152,0.198809369,0.25474563,0.304445805,0.220735773,0.056222172,0.23842873,0.222632769,0.300906021,0.365859861,0.360991778,0.011659106,0.118999341,0.345938412,0.220412744,0.074752924,0.19849436,0.270086702,0.324030411,0.327068864,0.124685952,0.208141509,0.138143687,0.178366745,0.328438189,0.2644499,0.121615974,0.313497657,0.219937528,0.091857044,0.029911268,-0.305517534
Arabic,0.535510885,0.433239831,1,0.134703592,0.236724919,0.254331116,0.709766774,0.535528542,0.161656354,0.125663335,0.552329652,0.547574762,0.612299255,0.395873687,0.599452614,0.502867669,0.645542297,0.352663129,0.520955584,0.350748197,0.445500047,0.334064416,0.179424984,0.100437522,0.38544161,0.605257959,0.38109568,0.511594022,0.330506137,0.354310296,0.199926996,0.380481853,0.340864751,0.532721846,0.316833038,0.462620507,0.553023473,0.218433448,0.138165352,-0.204537882
Bengali,0.241873261,0.066015888,0.134703592,1,0.013599886,-0.098415533,0.115911036,-0.041868405,0.081388105,-0.28051092,0.094838527,0.099643563,0.071098898,0.161974025,0.040894561,0.120370607,0.185340005,0.078853086,0.193023953,0.034384964,0.306761724,-0.048832176,0.245879664,0.14640803,0.245964319,0.112303533,0.153123485,0.133374665,0.085604403,0.048907557,-0.020076302,-0.030284115,-0.007345171,0.060935063,0.080523921,-0.110438173,0.002275923,-0.025736836,-0.094551785,0.086519206
Bosnian,-0.010162547,-0.046482063,0.236724919,0.013599886,1,0.077460173,0.265943123,0.166498252,0.270973874,-0.226157773,0.150738808,-0.061527385,0.098341264,0.13879358,0.06318895,-0.120549906,0.284232323,-0.067234287,0.129165424,0.191172009,0.118480805,-0.080067927,-0.163198076,0.065823669,0.33291217,-0.022973044,-0.076855853,-0.186287253,0.144127278,0.152982002,-0.091042394,0.306746238,-0.223508672,0.047792861,0.278374805,0.105269413,0.093517813,0.0733965,0.045658743,-0.252100687
Bulgarian,0.279412315,0.110701769,0.254331116,-0.098415533,0.077460173,1,0.179701481,0.351908691,0.283653043,0.431095624,0.495341689,0.480655089,0.50054297,0.410560587,0.409029797,0.499560919,0.225934939,0.076498379,0.359783674,0.505617395,0.139582839,0.336266456,0.258494349,0.419822899,0.13223689,0.442484506,0.27625276,0.513099257,0.431351535,0.602694232,0.431043773,0.283919217,0.35314477,0.401498182,0.299368829,0.186026939,0.461773917,0.089132262,0.236735954,0.165231718
Catalan,0.251405262,0.336957078,0.709766774,0.115911036,0.265943123,0.179701481,1,0.248015526,0.535975976,0.233785677,0.463110436,0.30667759,0.423851706,0.291420314,0.444901779,0.372433329,0.435882047,0.377158585,0.412553285,0.371952837,0.433468781,0.469357718,0.190553237,0.065077404,0.430035666,0.448688494,0.365040615,0.445503466,0.242470981,0.267542454,0.224449573,0.543623104,0.377402802,0.41727854,0.35868988,0.523812979,0.346250224,0.205964784,0.242688684,-0.133937206
Chinese,0.412845109,0.092892268,0.535528542,-0.041868405,0.166498252,0.351908691,0.248015526,1,0.070662932,0.25073639,0.587445817,0.445474947,0.614891871,0.510053873,0.556881584,0.63146853,0.542091745,0.222161385,0.43338127,0.413747004,0.502418633,0.301752985,0.276884978,0.363590226,0.422885864,0.649597043,0.336100678,0.526367553,0.467516376,0.466410304,0.306606461,0.242839167,0.398539042,0.613138506,0.447361078,0.447286923,0.499015858,0.205368893,0.278525146,0.022433471
Croatian,0.059221495,-0.099825152,0.161656354,0.081388105,0.270973874,0.283653043,0.535975976,0.070662932,1,0.585886267,0.237027439,0.005090647,0.18441643,0.232618303,0.465259833,-0.008306284,0.066488247,0.552514102,0.21263972,-0.001605376,0.133090764,0.161075365,0.15058721,-0.035723571,0.291108653,0.141785958,-0.133331594,0.332751634,0.279045824,-0.194789618,0.295302746,0.375966903,0.208561258,0.39363563,0.619982027,0.185578742,-0.179637951,0.349978909,-0.037388644,-0.137727475
Czech,0.110124895,0.198809369,0.125663335,-0.28051092,-0.226157773,0.431095624,0.233785677,0.25073639,0.585886267,1,0.540702383,0.636553228,0.492358746,0.375572286,0.320135491,0.468830671,0.188883275,0.45560141,0.501279349,0.399748917,0.243060023,0.45794865,0.196550492,0.18970829,0.132138576,0.370696394,0.377156526,0.644705976,0.398149672,0.460429472,0.528770345,0.46161707,0.320184044,0.539086069,0.377731303,0.216411887,0.442149823,0.045214739,0.266560675,0.280917505
