Lang,Bias
Arabic,-0.023331282467677676
Bulgarian,-0.023896374872752597
Catalan,-0.04485951440850484
Chinese,-0.039400133304297924
Croatian,-0.03558914557747219
Czech,-0.06287273797360095
Danish,-0.02537580331166585
Dutch,-0.0579047397563332
English,-0.026572901606559753
Estonian,-0.012275682254271074
Finnish,0.004581459190534509
French,-0.04067286614621623
German,-0.039180060227712
Greek,-0.015609225346928551
Hebrew,-0.042374161093734035
Hindi,-0.021930759979618922
Hungarian,-0.004014424113340156
Indonesian,-0.008621647502436783
Italian,-0.05394731049842023
Latvian,-0.04583797295888265
Lithuanian,-0.027054078607674104
Norwegian (Bokmål),-0.018928050994873047
Polish,-0.07568585541513231
Portuguese,-0.07152266388243818
Romanian,-0.07419598943147904
Russian,-0.055574094140252404
Slovak,-0.05132605769168371
Slovenian,-0.02131422197117525
Spanish,-0.05832965562218114
Swedish,-0.03082025431572123
Thai,-0.028533339500427246
Turkish,-5.246679504196365e-05
Ukrainian,-0.04463967777067615
