index,bias
0,-0.02762472629547119
4,0.04507315158843994
6,-0.0834885835647583
7,-0.01198732852935791
13,-0.11055421829223633
14,-0.03426337242126465
25,0.004972577095031738
26,-0.08624064922332764
27,0.025679945945739746
29,-0.019131779670715332
32,-0.04211914539337158
34,-0.05771338939666748
36,0.0038362741470336914
38,-0.02087247371673584
41,-0.00876164436340332
47,-0.03380775451660156
61,-0.1338266134262085
65,-0.02099430561065674
71,-0.03036046028137207
82,-0.00848376750946045
83,-0.05870223045349121
90,-0.09672904014587402
96,-0.012450814247131348
