index,bias
0,-0.06723260879516602
1,-0.08217304944992065
2,-0.0787879228591919
4,0.005995273590087891
5,-0.08372396230697632
6,-0.06338870525360107
7,-0.07983982563018799
8,-0.09333491325378418
9,-0.08660888671875
10,-0.07298946380615234
11,-0.08489394187927246
12,-0.07636940479278564
13,-0.07565546035766602
14,-0.09958714246749878
15,-0.04912757873535156
17,-0.06393730640411377
18,-0.02336442470550537
19,-0.07308506965637207
20,-0.07409942150115967
22,-0.07454109191894531
23,-0.07056498527526855
24,-0.05376410484313965
25,-0.07672667503356934
27,-0.03683894872665405
29,-0.051381707191467285
30,-0.07697397470474243
32,-0.0908498764038086
33,-0.07284390926361084
34,-0.06574082374572754
35,-0.06591618061065674
36,-0.006888628005981445
37,-0.08433961868286133
38,-0.005580425262451172
39,-0.08321785926818848
41,0.0022780895233154297
42,-0.0867236852645874
43,-0.06715452671051025
44,-0.10120266675949097
45,-0.08259868621826172
46,-0.050116539001464844
47,-0.04559457302093506
48,-0.06800663471221924
49,-0.06627202033996582
50,-0.06687885522842407
51,-0.08129072189331055
52,-0.09439957141876221
53,-0.06696856021881104
54,-0.0954170823097229
55,0.018468260765075684
56,-0.05376410484313965
57,-0.10946685075759888
58,-0.09781211614608765
59,-0.09933191537857056
61,-0.08604037761688232
62,-0.0612788200378418
63,-0.05193781852722168
64,-0.10019344091415405
65,-0.030747652053833008
66,-0.0767555832862854
67,-0.03413105010986328
68,-0.11294245719909668
69,-0.0547032356262207
70,-0.10846090316772461
71,-0.09668499231338501
72,-0.06832754611968994
73,-0.04762756824493408
74,-0.09682691097259521
75,-0.09446501731872559
76,-0.10073065757751465
77,-0.08492910861968994
78,-0.09071767330169678
79,-0.05565965175628662
80,-0.09810900688171387
81,-0.0030280351638793945
82,-0.023821234703063965
83,-0.08932936191558838
84,-0.09695178270339966
85,-0.06820380687713623
86,-0.10456633567810059
87,0.12412470579147339
88,-0.05022895336151123
89,-0.10054171085357666
90,-0.08036363124847412
91,-0.0732429027557373
92,-0.03719151020050049
93,-0.051673710346221924
94,0.026003241539001465
95,-0.07648873329162598
97,0.15515506267547607
98,-0.019373536109924316
99,-0.04980206489562988
