index,bias
0,-0.027521967887878418
1,-0.02188044786453247
2,-0.04483062028884888
3,-0.09931564331054688
5,-0.07119643688201904
6,-0.05669295787811279
7,-0.10485118627548218
8,-0.12432730197906494
9,-0.09696686267852783
10,-0.037915587425231934
11,-0.06128579378128052
12,-0.08739066123962402
13,-0.04684007167816162
14,-0.11702585220336914
15,-0.049776673316955566
16,-0.08031105995178223
18,-0.018749117851257324
19,-0.06015348434448242
20,-0.0819959044456482
21,-0.07509642839431763
22,-0.0848202109336853
23,-0.08233189582824707
24,-0.04910486936569214
25,-0.10409867763519287
26,-0.06895464658737183
27,-0.0416567325592041
28,0.002417445182800293
29,-0.03954952955245972
30,-0.07630300521850586
31,-0.015587151050567627
32,-0.022687315940856934
33,-0.07675695419311523
34,-0.050962865352630615
35,-0.0642777681350708
36,-0.09277927875518799
37,-0.08408176898956299
38,-0.019870638847351074
39,-0.1102454662322998
40,0.17315435409545898
41,-0.04910486936569214
42,-0.03485667705535889
43,-0.052994489669799805
44,-0.07243335247039795
45,-0.04994189739227295
46,-0.021909475326538086
47,-0.027521967887878418
48,-0.08777284622192383
49,-0.14418244361877441
50,-0.0674053430557251
51,-0.09550249576568604
52,-0.057997167110443115
53,-0.022574186325073242
54,-0.06319189071655273
55,-0.058574020862579346
56,-0.028963208198547363
57,-0.05094951391220093
58,-0.05169022083282471
59,-0.08012223243713379
60,-0.0346684455871582
61,-0.08265519142150879
62,-0.028888344764709473
63,-0.06545150279998779
64,-0.08726358413696289
65,-0.0862506628036499
66,-0.10667389631271362
67,-0.07089245319366455
68,-0.06745386123657227
69,-0.03617095947265625
71,-0.09204578399658203
72,-0.07844769954681396
73,-0.03542459011077881
74,-0.11054348945617676
75,-0.052836596965789795
76,-0.07975327968597412
77,-0.10394918918609619
78,-0.08403807878494263
79,-0.03524583578109741
80,-0.07261300086975098
81,-0.057089149951934814
82,-0.031545042991638184
83,-0.06445449590682983
84,-0.08370977640151978
85,-0.094429612159729
86,-0.09976154565811157
87,0.003602266311645508
88,-0.025575876235961914
90,-0.0725175142288208
91,-0.0010368824005126953
92,-0.06765091419219971
93,-0.0478290319442749
95,-0.050707459449768066
96,-0.06869006156921387
97,0.22505885362625122
98,-0.09358155727386475
99,-0.06945669651031494
