index,bias
1,-0.09108418226242065
2,-0.10204410552978516
3,-0.07729339599609375
4,-0.08076578378677368
5,-0.10785233974456787
6,-0.07566791772842407
7,-0.09461778402328491
8,-0.1046987771987915
9,-0.09111183881759644
10,-0.05733323097229004
11,-0.1046987771987915
12,-0.062357187271118164
13,-0.05520397424697876
14,-0.10394167900085449
17,-0.10125595331192017
18,-0.01139974594116211
19,-0.051656484603881836
20,-0.12832105159759521
21,-0.09522813558578491
22,-0.04885369539260864
23,-0.0594099760055542
24,-0.10334944725036621
25,-0.11761629581451416
26,-0.0847846269607544
27,-0.09459316730499268
29,-0.07587718963623047
30,-0.13244521617889404
31,-0.025661110877990723
32,-0.10037970542907715
33,-0.093028724193573
34,-0.06605744361877441
35,-0.0914536714553833
36,-0.05798673629760742
38,-0.093028724193573
39,-0.11130565404891968
40,0.12976431846618652
41,-0.03905963897705078
42,-0.09632933139801025
43,-0.06080758571624756
44,-0.09111183881759644
45,-0.06490230560302734
46,-0.04525423049926758
47,-0.03376120328903198
48,-0.04397463798522949
49,-0.05278515815734863
50,-0.11930280923843384
51,-0.0748680830001831
52,-0.07876259088516235
54,-0.08286899328231812
55,-0.08878624439239502
56,-0.09588354825973511
57,-0.10644608736038208
58,-0.03587067127227783
59,-0.09825682640075684
60,-0.08297252655029297
61,-0.07284653186798096
62,-0.11886173486709595
63,0.0006350278854370117
64,-0.14139199256896973
65,-0.08748888969421387
66,-0.10660797357559204
67,-0.07294535636901855
68,-0.10083544254302979
69,-0.08210635185241699
70,-0.09829056262969971
71,-0.08298975229263306
72,-0.06597614288330078
73,-0.07067006826400757
74,-0.07763558626174927
75,-0.057615578174591064
76,-0.10831558704376221
77,-0.10340237617492676
79,-0.05711483955383301
80,-0.10398375988006592
81,-0.05671721696853638
82,-0.10902237892150879
83,-0.07698178291320801
84,-0.08320432901382446
85,-0.04732847213745117
86,-0.029147744178771973
87,0.02030003070831299
89,0.017115235328674316
90,-0.10564863681793213
91,-0.08313906192779541
92,-0.08609670400619507
93,-0.07752442359924316
95,-0.06903707981109619
96,-0.09541285037994385
98,-0.02911275625228882
99,-0.07772159576416016
