index,bias
0,-0.07463037967681885
1,-0.06041300296783447
2,-0.07417160272598267
3,-0.062104105949401855
4,-0.03560435771942139
5,-0.08045166730880737
6,-0.12201392650604248
7,-0.042253851890563965
8,-0.08009517192840576
9,-0.11203658580780029
10,-0.07452571392059326
12,-0.07822740077972412
13,-0.06658804416656494
14,-0.0887986421585083
18,-0.008128881454467773
20,-0.10132968425750732
21,-0.0765002965927124
22,-0.11146527528762817
23,-0.08285284042358398
24,-0.08559960126876831
25,-0.07676851749420166
26,-0.06882596015930176
27,-0.03600037097930908
29,-0.0624614953994751
32,-0.055217623710632324
33,-0.0931885838508606
34,0.04899740219116211
35,-0.08910024166107178
36,-0.02971196174621582
37,-0.052935123443603516
38,-0.04003310203552246
39,-0.07847100496292114
41,-0.05709242820739746
42,-0.09298890829086304
43,-0.07417058944702148
44,-0.11203658580780029
45,-0.05104386806488037
46,-0.07135581970214844
47,-0.07749152183532715
49,-0.12000596523284912
51,-0.09262871742248535
52,-0.06412696838378906
54,-0.09409993886947632
56,-0.08559960126876831
57,-0.07699525356292725
59,-0.09222984313964844
61,-0.07266712188720703
63,-0.06968522071838379
65,-0.09401869773864746
66,-0.09561508893966675
67,-0.05280137062072754
68,-0.0859687328338623
69,-0.09637773036956787
70,-0.09429681301116943
71,-0.07060825824737549
72,-0.05755019187927246
73,-0.05386161804199219
75,-0.06321918964385986
76,-0.09976983070373535
77,-0.08500218391418457
78,-0.11254262924194336
79,-0.04902911186218262
80,-0.06675362586975098
81,-0.12108683586120605
82,-0.047183871269226074
83,-0.09857761859893799
84,-0.12322354316711426
85,-0.10194218158721924
86,-0.07394158840179443
87,-0.09857058525085449
90,-0.06286799907684326
92,-0.11146527528762817
93,-0.06381380558013916
94,-0.07014298439025879
95,-0.0931965708732605
97,0.05729919672012329
98,-0.08302068710327148
99,-0.06241178512573242
