index,bias
0,-0.03772604465484619
1,-0.012978911399841309
2,-0.048349857330322266
3,-0.04975616931915283
4,-0.031068503856658936
5,-0.10296529531478882
6,-0.0484699010848999
7,-0.06989508867263794
8,-0.0761793851852417
9,-0.07537400722503662
10,-0.06155526638031006
11,-0.06255638599395752
12,-0.06602418422698975
13,-0.033702731132507324
14,-0.06508177518844604
15,-0.05351424217224121
16,-0.03330039978027344
17,-0.09245657920837402
18,-0.0089644193649292
19,0.008934617042541504
20,-0.07038259506225586
21,-0.026418566703796387
22,-0.04294365644454956
23,-0.032122135162353516
24,-0.050460219383239746
25,-0.1003907322883606
26,-0.039964497089385986
27,-0.0388219952583313
28,-0.03988969326019287
29,-0.027013778686523438
31,-0.03988969326019287
32,-0.05587422847747803
33,-0.000985860824584961
34,-0.02389705181121826
35,-0.0362696647644043
36,-0.08034145832061768
38,-0.00951683521270752
39,-0.03990471363067627
40,0.10999816656112671
43,-0.04448521137237549
44,-0.08134722709655762
45,-0.00848400592803955
46,0.003815889358520508
47,-0.01779472827911377
48,-0.03671073913574219
49,-0.07104063034057617
50,-0.061913907527923584
51,-0.0574420690536499
52,-0.07775908708572388
53,-0.06660890579223633
54,-0.06036144495010376
55,-0.0007880926132202148
56,-0.052992284297943115
57,-0.06432759761810303
58,-0.015453457832336426
59,-0.09509801864624023
60,-0.07631552219390869
61,-0.037032246589660645
62,-0.029590606689453125
63,-0.035837769508361816
64,-0.05047333240509033
65,-0.024394869804382324
66,-0.05227625370025635
67,-0.02300846576690674
68,-0.019798874855041504
69,-0.02118980884552002
70,-0.05336868762969971
72,0.0016967058181762695
73,-0.05155479907989502
74,-0.06532585620880127
75,-0.049449801445007324
76,-0.08263051509857178
77,-0.07426667213439941
78,-0.04927539825439453
79,-0.055551886558532715
80,-0.06339073181152344
81,-0.04801821708679199
82,-0.05253255367279053
83,-0.055551886558532715
84,-0.03984355926513672
85,-0.05044710636138916
86,-0.09173989295959473
87,-0.026943564414978027
89,-0.03155165910720825
90,-0.05723166465759277
92,-0.07305127382278442
93,-0.01037752628326416
94,-0.010275125503540039
95,-0.06576347351074219
96,-0.06607156991958618
97,0.039936184883117676
98,-0.07160073518753052
99,-0.05252575874328613
