index,trans,bias
78,carpenter,-0.06975114345550537
92,administrator,-0.06108999252319336
84,shoemaker,-0.053820013999938965
81,accountant,-0.05356037616729736
77,engineer,-0.05243051052093506
66,instructor,-0.04957687854766846
96,driver,-0.047217488288879395
22,manager,-0.047217488288879395
87,cook,-0.04615163803100586
29,broker,-0.040904879570007324
6,operator,-0.03414571285247803
35,economist,-0.03312110900878906
98,guard,-0.030951261520385742
13,photographer,-0.030420541763305664
42,bookbinder,-0.028984546661376953
4,cashier,-0.02686142921447754
61,geologist,-0.025888562202453613
2,laborer,-0.02528226375579834
48,professor,-0.024603962898254395
32,author,-0.024027347564697266
44,inspector,-0.019962072372436523
64,lumberjack,-0.016132593154907227
12,architect,-0.013844013214111328
82,clergy,-0.013390779495239258
5,proprietor,-0.012817978858947754
71,sheriff,-0.012608885765075684
26,bailiff,-0.012608885765075684
52,farmer,-0.011446952819824219
39,conductor,-0.010355830192565918
49,technician,-0.007788419723510742
14,teacher,-0.007437467575073242
57,sailor,-0.007335305213928223
37,cabinetmaker,-0.0073059797286987305
45,secretary,-0.006553530693054199
65,designer,-0.00559079647064209
51,lawyer,-0.005273222923278809
25,athlete,-0.005012631416320801
56,janitor,-0.0045005083084106445
67,pharmacist,-0.004361867904663086
53,veterinarian,-0.004040241241455078
23,statistician,-0.0026224851608276367
74,scientist,-0.0015599727630615234
10,physicist,-0.001006484031677246
72,librarian,0.00012314319610595703
3,conservationist,0.0006856918334960938
73,surgeon,0.0015834569931030273
79,artist,0.0022052526473999023
85,plumber,0.0025655031204223633
69,judge,0.0027170181274414062
80,soldier,0.005034089088439941
38,official,0.006689548492431641
8,mechanic,0.007632017135620117
54,electrician,0.007787108421325684
59,musician,0.008357524871826172
95,gardener,0.008777379989624023
9,surveyor,0.009450197219848633
75,jeweler,0.010744452476501465
93,dentist,0.012349963188171387
33,clerk,0.012717008590698242
34,entertainer,0.013331174850463867
43,chemist,0.014350533485412598
46,clerical,0.015494704246520996
1,doctor,0.0171278715133667
0,physician,0.0171278715133667
27,dancer,0.018718242645263672
90,pilot,0.019655942916870117
55,attendant,0.019722938537597656
58,weaver,0.022820353507995605
83,painter,0.02979254722595215
18,sales,0.033507704734802246
31,dietitian,0.03454720973968506
97,housekeeper,0.035954058170318604
63,psychologist,0.04003274440765381
47,therapist,0.04252433776855469
94,police,0.04731130599975586
40,nurse,0.05755215883255005
