index,trans,bias
4,cashier,-0.09395253658294678
81,accountant,-0.08543837070465088
93,dentist,-0.08532679080963135
79,artist,-0.0830153226852417
59,musician,-0.08239191770553589
43,chemist,-0.0791921615600586
74,scientist,-0.07774198055267334
78,carpenter,-0.0698467493057251
10,physicist,-0.06913948059082031
2,laborer,-0.06794780492782593
73,surgeon,-0.06377780437469482
49,technician,-0.0627584457397461
80,soldier,-0.06266093254089355
0,physician,-0.062316298484802246
1,doctor,-0.062316298484802246
22,manager,-0.06122112274169922
55,attendant,-0.06110560894012451
63,psychologist,-0.061005473136901855
39,conductor,-0.060727477073669434
5,proprietor,-0.06066691875457764
61,geologist,-0.059980154037475586
83,painter,-0.0598301887512207
32,author,-0.058827996253967285
13,photographer,-0.05844426155090332
69,judge,-0.05621683597564697
65,designer,-0.05449533462524414
67,pharmacist,-0.053495168685913086
25,athlete,-0.05057424306869507
66,instructor,-0.050321102142333984
11,machinist,-0.04985761642456055
8,mechanic,-0.04985761642456055
95,gardener,-0.04941892623901367
12,architect,-0.048212647438049316
23,statistician,-0.04278826713562012
57,sailor,-0.04158425331115723
35,economist,-0.041455626487731934
99,welder,-0.04132652282714844
85,plumber,-0.04087352752685547
76,compositor,-0.03996396064758301
30,typesetter,-0.03996396064758301
14,teacher,-0.03939640522003174
33,clerk,-0.0388718843460083
29,broker,-0.038640499114990234
27,dancer,-0.037560343742370605
92,administrator,-0.034316062927246094
77,engineer,-0.033711791038513184
56,janitor,-0.033307790756225586
24,doorkeeper,-0.033307790756225586
41,porter,-0.033307790756225586
51,lawyer,-0.0323868989944458
71,sheriff,-0.03151547908782959
52,farmer,-0.030594706535339355
96,driver,-0.028738737106323242
20,baker,-0.026594579219818115
90,pilot,-0.02618396282196045
75,jeweler,-0.025912165641784668
84,shoemaker,-0.025719404220581055
48,professor,-0.024989843368530273
44,inspector,-0.02417433261871338
45,secretary,-0.022633910179138184
46,clerical,-0.021103858947753906
53,veterinarian,-0.020873069763183594
86,mason,-0.020788908004760742
82,clergy,-0.020320892333984375
94,police,-0.01627671718597412
98,guard,-0.014360547065734863
6,operator,-0.008831024169921875
3,conservationist,-0.008167624473571777
87,cook,-0.007881462574005127
38,official,0.0009196996688842773
40,nurse,0.0069446563720703125
31,dietitian,0.01759481430053711
18,sales,0.02556443214416504
