index,trans,bias
92,administrator,-0.07668352127075195
22,manager,-0.07668352127075195
5,proprietor,-0.07042872905731201
51,lawyer,-0.06067061424255371
32,author,-0.060194969177246094
43,chemist,-0.05826997756958008
95,gardener,-0.05533665418624878
77,engineer,-0.054321348667144775
79,artist,-0.05375546216964722
66,instructor,-0.0525357723236084
96,driver,-0.049794793128967285
85,plumber,-0.048111677169799805
64,lumberjack,-0.04798412322998047
98,guard,-0.044966042041778564
34,entertainer,-0.0448799729347229
71,sheriff,-0.04122352600097656
99,welder,-0.04004824161529541
10,physicist,-0.0385054349899292
55,attendant,-0.03794300556182861
81,accountant,-0.03755766153335571
65,designer,-0.036903440952301025
69,judge,-0.035038113594055176
14,teacher,-0.03483015298843384
44,inspector,-0.02951633930206299
25,athlete,-0.029347479343414307
49,technician,-0.02808403968811035
74,scientist,-0.027708590030670166
45,secretary,-0.027462303638458252
21,smith,-0.026306450366973877
11,machinist,-0.02316528558731079
8,mechanic,-0.02316528558731079
2,laborer,-0.022134363651275635
67,pharmacist,-0.01905226707458496
20,baker,-0.018950581550598145
87,cook,-0.01742863655090332
57,sailor,-0.016823768615722656
94,police,-0.01642841100692749
80,soldier,-0.01603543758392334
39,conductor,-0.01538705825805664
78,carpenter,-0.014648258686065674
58,weaver,-0.014258503913879395
29,broker,-0.01175755262374878
41,porter,-0.010548710823059082
24,doorkeeper,-0.009948909282684326
23,statistician,-0.008386313915252686
61,geologist,-0.007441401481628418
1,doctor,-0.006800234317779541
38,official,-0.0036553144454956055
83,painter,0.0006635189056396484
75,jeweler,0.001356363296508789
52,farmer,0.003278970718383789
90,pilot,0.0036838650703430176
56,janitor,0.003988027572631836
62,setter,0.01648557186126709
47,therapist,0.017042338848114014
18,sales,0.03149139881134033
27,dancer,0.0808868408203125
40,nurse,0.08901697397232056
