index,trans,bias
13,photographer,-0.04129922389984131
87,cook,-0.03837984800338745
92,administrator,-0.03498828411102295
71,sheriff,-0.03380310535430908
14,teacher,-0.0284421443939209
84,shoemaker,-0.02354133129119873
1,doctor,-0.02177882194519043
72,librarian,-0.01957380771636963
41,porter,-0.018070340156555176
33,clerk,-0.01666700839996338
29,broker,-0.014619946479797363
59,musician,-0.013819456100463867
44,inspector,-0.011046171188354492
4,cashier,-0.009969472885131836
48,professor,-0.009180426597595215
69,judge,-0.00712895393371582
5,proprietor,-0.00560915470123291
96,driver,-0.005463004112243652
38,official,-0.004649519920349121
93,dentist,-0.0030066967010498047
65,designer,-0.002526402473449707
79,artist,-0.0023812055587768555
56,janitor,-0.0013515949249267578
50,salesperson,-0.0009073019027709961
9,surveyor,-0.0007181167602539062
62,setter,-0.0006097555160522461
10,physicist,-0.0005812644958496094
74,scientist,-0.00045490264892578125
94,police,-0.0004292726516723633
6,operator,0.00044846534729003906
45,secretary,0.0007053613662719727
18,sales,0.0022295713424682617
27,dancer,0.002389073371887207
81,accountant,0.0028742551803588867
61,geologist,0.0030527114868164062
80,soldier,0.0047081708908081055
83,painter,0.006892204284667969
22,manager,0.00856173038482666
25,athlete,0.010943055152893066
12,architect,0.012201547622680664
57,sailor,0.012461304664611816
34,entertainer,0.013727426528930664
0,physician,0.01514279842376709
3,conservationist,0.016763687133789062
73,surgeon,0.01772892475128174
66,instructor,0.018864154815673828
32,author,0.019000530242919922
2,laborer,0.02014601230621338
98,guard,0.025601625442504883
52,farmer,0.02565133571624756
39,conductor,0.026398062705993652
35,economist,0.02938699722290039
77,engineer,0.03050684928894043
86,mason,0.032824039459228516
51,lawyer,0.035106778144836426
95,gardener,0.039212703704833984
8,mechanic,0.040286481380462646
40,nurse,0.05367088317871094
