index,trans,bias
87,cook,-0.06695616245269775
25,athlete,-0.0657585859298706
21,smith,-0.05899327993392944
79,artist,-0.05058473348617554
52,farmer,-0.04966628551483154
12,architect,-0.04846179485321045
86,mason,-0.04749476909637451
35,economist,-0.045546650886535645
69,judge,-0.040759503841400146
38,official,-0.04058408737182617
94,police,-0.03895699977874756
59,musician,-0.03830552101135254
71,sheriff,-0.037838101387023926
40,nurse,-0.035846710205078125
9,surveyor,-0.03415650129318237
74,scientist,-0.034103333950042725
32,author,-0.03358161449432373
14,teacher,-0.03168606758117676
20,baker,-0.031658828258514404
92,administrator,-0.0314633846282959
6,operator,-0.02991318702697754
29,broker,-0.029486417770385742
33,clerk,-0.028697550296783447
98,guard,-0.02338862419128418
90,pilot,-0.020326614379882812
96,driver,-0.016852974891662598
83,painter,-0.01339864730834961
65,designer,-0.012783825397491455
18,sales,-0.009781718254089355
41,porter,-0.008575201034545898
84,shoemaker,-0.00772702693939209
1,doctor,-0.005853533744812012
45,secretary,-0.003394007682800293
78,carpenter,0.0022048354148864746
22,manager,0.0023017525672912598
80,soldier,0.0026195645332336426
57,sailor,0.004925787448883057
48,professor,0.01042938232421875
77,engineer,0.010844051837921143
58,weaver,0.014272034168243408
27,dancer,0.04900848865509033
