index,trans,bias
57,sailor,-0.07890200614929199
80,soldier,-0.06842195987701416
5,proprietor,-0.06691157817840576
17,tradesperson,-0.06108182668685913
55,attendant,-0.060643792152404785
6,operator,-0.0600130558013916
64,lumberjack,-0.05955362319946289
95,gardener,-0.05471324920654297
21,smith,-0.05116927623748779
74,scientist,-0.048059821128845215
39,conductor,-0.04799854755401611
86,mason,-0.04749131202697754
79,artist,-0.04663217067718506
83,painter,-0.04663217067718506
90,pilot,-0.045543670654296875
82,clergy,-0.04506242275238037
84,shoemaker,-0.04325002431869507
48,professor,-0.043115854263305664
14,teacher,-0.04183006286621094
43,chemist,-0.0402827262878418
59,musician,-0.0401303768157959
61,geologist,-0.04012870788574219
16,millwright,-0.03899085521697998
35,economist,-0.038094282150268555
25,athlete,-0.037245869636535645
49,technician,-0.03647911548614502
87,cook,-0.03645491600036621
92,administrator,-0.03613686561584473
23,statistician,-0.03521311283111572
66,instructor,-0.03472185134887695
8,mechanic,-0.034028053283691406
11,machinist,-0.034028053283691406
56,janitor,-0.03233170509338379
24,doorkeeper,-0.03233170509338379
75,jeweler,-0.03209352493286133
78,carpenter,-0.03183645009994507
30,typesetter,-0.031356215476989746
76,compositor,-0.031356215476989746
33,clerk,-0.031105875968933105
96,driver,-0.03061211109161377
63,psychologist,-0.03049600124359131
77,engineer,-0.02941453456878662
70,toolmaker,-0.028338193893432617
2,laborer,-0.027863144874572754
22,manager,-0.027278780937194824
9,surveyor,-0.026169538497924805
44,inspector,-0.026169538497924805
12,architect,-0.02565300464630127
58,weaver,-0.024811506271362305
94,police,-0.023664236068725586
71,sheriff,-0.02320384979248047
32,author,-0.020871996879577637
42,bookbinder,-0.019965529441833496
29,broker,-0.017094969749450684
4,cashier,-0.017032861709594727
46,clerical,-0.015138864517211914
51,lawyer,-0.014624714851379395
18,sales,-0.014320969581604004
45,secretary,-0.01413869857788086
67,pharmacist,-0.012643218040466309
34,entertainer,-0.011943459510803223
99,welder,-0.010577857494354248
10,physicist,-0.009795427322387695
27,dancer,-0.009630084037780762
69,judge,-0.006668686866760254
13,photographer,-0.005071043968200684
85,plumber,-0.003910183906555176
65,designer,-0.0038160085678100586
54,electrician,-0.0023670196533203125
1,doctor,-0.0017098188400268555
0,physician,-0.0017098188400268555
62,setter,0.0012612342834472656
88,draftsperson,0.0028228759765625
20,baker,0.0035058259963989258
72,librarian,0.005393862724304199
3,conservationist,0.007669568061828613
7,bartender,0.008437514305114746
73,surgeon,0.01094210147857666
38,official,0.012298226356506348
41,porter,0.016284942626953125
98,guard,0.021106243133544922
93,dentist,0.027429521083831787
47,therapist,0.05505168437957764
97,housekeeper,0.07857948541641235
