index,trans,bias
17,tradesperson,-0.1250646710395813
59,musician,-0.1194646954536438
77,engineer,-0.11015105247497559
12,architect,-0.10726535320281982
61,geologist,-0.10703158378601074
34,entertainer,-0.10496926307678223
99,welder,-0.10147535800933838
92,administrator,-0.09960329532623291
51,lawyer,-0.09376358985900879
21,smith,-0.09258031845092773
5,proprietor,-0.09240889549255371
32,author,-0.09100508689880371
96,driver,-0.08790755271911621
39,conductor,-0.08790755271911621
76,compositor,-0.08690869808197021
63,psychologist,-0.08653676509857178
80,soldier,-0.08590948581695557
71,sheriff,-0.08420848846435547
14,teacher,-0.08178102970123291
78,carpenter,-0.07879906892776489
69,judge,-0.07871091365814209
44,inspector,-0.07864034175872803
90,pilot,-0.07859551906585693
65,designer,-0.07627677917480469
0,physician,-0.07187545299530029
1,doctor,-0.07187545299530029
9,surveyor,-0.07086014747619629
73,surgeon,-0.07083392143249512
45,secretary,-0.0705481767654419
33,clerk,-0.0705481767654419
66,instructor,-0.07045114040374756
20,baker,-0.06907260417938232
13,photographer,-0.06891918182373047
10,physicist,-0.06734728813171387
50,salesperson,-0.06529366970062256
75,jeweler,-0.06528496742248535
35,economist,-0.06495773792266846
49,technician,-0.0631411075592041
83,painter,-0.06284940242767334
42,bookbinder,-0.062113404273986816
85,plumber,-0.06093800067901611
43,chemist,-0.06083798408508301
6,operator,-0.06048130989074707
22,manager,-0.05719351768493652
7,bartender,-0.0559154748916626
74,scientist,-0.055676937103271484
53,veterinarian,-0.05474972724914551
37,cabinetmaker,-0.05347418785095215
67,pharmacist,-0.05335581302642822
84,shoemaker,-0.05324000120162964
31,dietitian,-0.05321383476257324
26,bailiff,-0.051128387451171875
55,attendant,-0.05086064338684082
54,electrician,-0.04905903339385986
93,dentist,-0.046689391136169434
95,gardener,-0.046671152114868164
38,official,-0.043134212493896484
91,chiropractor,-0.03812938928604126
89,newsperson,-0.03742647171020508
3,conservationist,-0.03742027282714844
11,machinist,-0.0364079475402832
97,housekeeper,-0.03594481945037842
56,janitor,-0.03589832782745361
57,sailor,-0.032938480377197266
81,accountant,-0.0323408842086792
4,cashier,-0.03015720844268799
41,porter,-0.02833116054534912
24,doorkeeper,-0.02833116054534912
23,statistician,-0.02766406536102295
52,farmer,-0.02603304386138916
19,upholsterer,-0.02410125732421875
62,setter,-0.021683335304260254
58,weaver,-0.02087104320526123
94,police,-0.020758867263793945
25,athlete,-0.019980907440185547
82,clergy,-0.018793225288391113
29,broker,-0.017298460006713867
79,artist,-0.012481689453125
98,guard,-0.010030269622802734
8,mechanic,-0.0073081254959106445
2,laborer,-0.0014908313751220703
87,cook,-0.0004905462265014648
30,typesetter,0.004144906997680664
36,boilermaker,0.004766702651977539
88,draftsperson,0.011113762855529785
28,nutritionist,0.01282346248626709
64,lumberjack,0.016562461853027344
86,mason,0.01708531379699707
46,clerical,0.031040310859680176
47,therapist,0.03386664390563965
18,sales,0.03508913516998291
15,optometrist,0.041029930114746094
72,librarian,0.11522090435028076
60,waitstaff,0.1353629231452942
48,professor,0.1428653597831726
40,nurse,0.14398932456970215
27,dancer,0.16224682331085205
