index,trans,bias
8,mechanic,-0.10554289817810059
71,sheriff,-0.08191603422164917
48,professor,-0.0781821608543396
24,doorkeeper,-0.07793104648590088
52,farmer,-0.07769125699996948
77,engineer,-0.07714128494262695
82,clergy,-0.07493084669113159
54,electrician,-0.06952100992202759
80,soldier,-0.06928634643554688
32,author,-0.06763237714767456
67,pharmacist,-0.06705594062805176
53,veterinarian,-0.06452667713165283
68,plasterer,-0.06381881237030029
87,cook,-0.06155538558959961
86,mason,-0.06060361862182617
78,carpenter,-0.05810403823852539
12,architect,-0.0578991174697876
96,driver,-0.0573539137840271
66,instructor,-0.05695921182632446
22,manager,-0.056621015071868896
35,economist,-0.055274009704589844
14,teacher,-0.05467504262924194
72,librarian,-0.0542142391204834
94,police,-0.05321383476257324
74,scientist,-0.05220913887023926
81,accountant,-0.04986250400543213
95,gardener,-0.04823946952819824
84,shoemaker,-0.04617220163345337
10,physicist,-0.044924259185791016
17,tradesperson,-0.0447348952293396
39,conductor,-0.04369974136352539
0,physician,-0.03732961416244507
1,doctor,-0.03648829460144043
51,lawyer,-0.035872459411621094
5,proprietor,-0.03296399116516113
83,painter,-0.03237336874008179
21,smith,-0.028608739376068115
61,geologist,-0.02773725986480713
93,dentist,-0.026562750339508057
26,bailiff,-0.025503575801849365
58,weaver,-0.02415257692337036
2,laborer,-0.022703886032104492
90,pilot,-0.020742416381835938
25,athlete,-0.02055978775024414
38,official,-0.020137429237365723
57,sailor,-0.02002769708633423
69,judge,-0.019851505756378174
15,optometrist,-0.015016913414001465
7,bartender,-0.014792919158935547
45,secretary,-0.013489902019500732
79,artist,-0.011482954025268555
98,guard,-0.00914222002029419
65,designer,-0.008679747581481934
4,cashier,-0.006988048553466797
63,psychologist,-0.003087759017944336
29,broker,0.0034286975860595703
13,photographer,0.006103515625
33,clerk,0.006174027919769287
97,housekeeper,0.010001838207244873
18,sales,0.012814164161682129
34,entertainer,0.015239238739013672
50,salesperson,0.01666092872619629
27,dancer,0.048752784729003906
40,nurse,0.05698812007904053
