index,trans,bias
61,geologist,-0.1338266134262085
13,photographer,-0.11055421829223633
90,pilot,-0.09672904014587402
26,bailiff,-0.08624064922332764
6,operator,-0.0834885835647583
83,painter,-0.05870223045349121
34,entertainer,-0.05771338939666748
32,author,-0.04211914539337158
14,teacher,-0.03426337242126465
47,therapist,-0.03380775451660156
71,sheriff,-0.03036046028137207
0,physician,-0.02762472629547119
65,designer,-0.02099430561065674
38,official,-0.02087247371673584
29,broker,-0.019131779670715332
96,driver,-0.012450814247131348
7,bartender,-0.01198732852935791
41,porter,-0.00876164436340332
82,clergy,-0.00848376750946045
36,boilermaker,0.0038362741470336914
25,athlete,0.004972577095031738
27,dancer,0.025679945945739746
4,cashier,0.04507315158843994
