index,trans,bias
68,plasterer,-0.11080634593963623
57,sailor,-0.10428160429000854
70,toolmaker,-0.10427641868591309
76,compositor,-0.10124325752258301
86,mason,-0.09838294982910156
59,musician,-0.09715408086776733
89,newsperson,-0.09684991836547852
44,inspector,-0.09594279527664185
14,teacher,-0.09522897005081177
75,jeweler,-0.09505140781402588
84,shoemaker,-0.09356242418289185
74,scientist,-0.0935213565826416
80,soldier,-0.09342753887176514
71,sheriff,-0.09281200170516968
64,lumberjack,-0.09164994955062866
58,weaver,-0.09160786867141724
54,electrician,-0.08971768617630005
52,farmer,-0.08910036087036133
8,mechanic,-0.08866167068481445
83,painter,-0.08826625347137451
32,author,-0.08681178092956543
78,carpenter,-0.08418810367584229
61,geologist,-0.08385777473449707
42,bookbinder,-0.08342313766479492
39,conductor,-0.08299684524536133
9,surveyor,-0.08285701274871826
5,proprietor,-0.08126276731491089
45,secretary,-0.08125054836273193
37,cabinetmaker,-0.08111763000488281
77,engineer,-0.07987582683563232
51,lawyer,-0.07922482490539551
11,machinist,-0.07806563377380371
1,doctor,-0.07688814401626587
12,architect,-0.07447993755340576
95,gardener,-0.07381010055541992
7,bartender,-0.07369518280029297
30,typesetter,-0.07288950681686401
90,pilot,-0.07268548011779785
13,photographer,-0.07170021533966064
22,manager,-0.0710524320602417
10,physicist,-0.0707482099533081
25,athlete,-0.07057797908782959
91,chiropractor,-0.07049417495727539
66,instructor,-0.07046264410018921
33,clerk,-0.07033646106719971
19,upholsterer,-0.06986558437347412
20,baker,-0.06974291801452637
2,laborer,-0.06971466541290283
72,librarian,-0.06611406803131104
23,statistician,-0.0660938024520874
34,entertainer,-0.06566286087036133
0,physician,-0.06539833545684814
43,chemist,-0.06466412544250488
48,professor,-0.06416893005371094
35,economist,-0.06394553184509277
85,plumber,-0.0631563663482666
53,veterinarian,-0.06077098846435547
50,salesperson,-0.06055682897567749
49,technician,-0.06010782718658447
17,tradesperson,-0.05874621868133545
6,operator,-0.05830824375152588
62,setter,-0.05501079559326172
69,judge,-0.05188298225402832
79,artist,-0.0511629581451416
24,doorkeeper,-0.051023244857788086
56,janitor,-0.051023244857788086
29,broker,-0.049864768981933594
93,dentist,-0.049853622913360596
63,psychologist,-0.0493549108505249
73,surgeon,-0.04600346088409424
15,optometrist,-0.04566526412963867
46,clerical,-0.04525899887084961
88,draftsperson,-0.043935537338256836
99,welder,-0.04383444786071777
47,therapist,-0.042645812034606934
92,administrator,-0.03498566150665283
27,dancer,-0.0331462025642395
67,pharmacist,-0.03121626377105713
65,designer,-0.02951490879058838
82,clergy,-0.021735668182373047
18,sales,-0.019053936004638672
98,guard,-0.013484835624694824
38,official,-0.0022906064987182617
36,boilermaker,-0.0015845298767089844
81,accountant,0.00015461444854736328
41,porter,0.0035791397094726562
4,cashier,0.008925557136535645
55,attendant,0.02658236026763916
94,police,0.030430197715759277
87,cook,0.1271113157272339
97,housekeeper,0.15732663869857788
