index,trans,bias
49,technician,-0.14123737812042236
8,mechanic,-0.12261617183685303
14,teacher,-0.1139979362487793
39,conductor,-0.10486328601837158
74,scientist,-0.10444307327270508
66,instructor,-0.10442739725112915
7,bartender,-0.1027718186378479
25,athlete,-0.10139334201812744
77,engineer,-0.09829437732696533
9,surveyor,-0.09659218788146973
3,conservationist,-0.09578239917755127
86,mason,-0.09485763311386108
85,plumber,-0.09293699264526367
71,sheriff,-0.09174609184265137
51,lawyer,-0.09112298488616943
36,boilermaker,-0.08934533596038818
98,guard,-0.08755326271057129
48,professor,-0.08485424518585205
64,lumberjack,-0.08383488655090332
65,designer,-0.08334755897521973
84,shoemaker,-0.08296447992324829
78,carpenter,-0.08249408006668091
37,cabinetmaker,-0.082145094871521
23,statistician,-0.08182942867279053
12,architect,-0.08131766319274902
22,manager,-0.08050066232681274
20,baker,-0.0797070860862732
61,geologist,-0.07880306243896484
59,musician,-0.07833445072174072
16,millwright,-0.07738256454467773
76,compositor,-0.07725036144256592
72,librarian,-0.0759584903717041
21,smith,-0.07408756017684937
33,clerk,-0.07360363006591797
30,typesetter,-0.07136619091033936
44,inspector,-0.07054305076599121
5,proprietor,-0.06839525699615479
67,pharmacist,-0.06826996803283691
99,welder,-0.06812191009521484
26,bailiff,-0.06807070970535278
90,pilot,-0.0674964189529419
68,plasterer,-0.0665963888168335
80,soldier,-0.06569719314575195
50,salesperson,-0.06434261798858643
96,driver,-0.06418347358703613
92,administrator,-0.06212317943572998
83,painter,-0.0615120530128479
63,psychologist,-0.06072127819061279
54,electrician,-0.059741854667663574
35,economist,-0.05890023708343506
19,upholsterer,-0.057282090187072754
11,machinist,-0.056783854961395264
55,attendant,-0.05597871541976929
52,farmer,-0.05419260263442993
6,operator,-0.05295884609222412
75,jeweler,-0.05257529020309448
81,accountant,-0.051770150661468506
58,weaver,-0.05119609832763672
34,entertainer,-0.0507391095161438
95,gardener,-0.04819750785827637
43,chemist,-0.04804039001464844
45,secretary,-0.04768681526184082
15,optometrist,-0.04736781120300293
57,sailor,-0.04670673608779907
24,doorkeeper,-0.046537816524505615
41,porter,-0.046537816524505615
93,dentist,-0.04627251625061035
13,photographer,-0.04325699806213379
27,dancer,-0.0390164852142334
2,laborer,-0.03880053758621216
29,broker,-0.03746908903121948
60,waitstaff,-0.03537583351135254
10,physicist,-0.0350034236907959
42,bookbinder,-0.03383493423461914
73,surgeon,-0.032314419746398926
79,artist,-0.032220304012298584
69,judge,-0.030872821807861328
56,janitor,-0.028026938438415527
82,clergy,-0.02782416343688965
62,setter,-0.0245589017868042
47,therapist,-0.02383124828338623
0,physician,-0.02383124828338623
88,draftsperson,-0.020325779914855957
53,veterinarian,-0.019389331340789795
1,doctor,-0.018799126148223877
32,author,-0.01786673069000244
18,sales,-0.01782524585723877
46,clerical,-0.017818212509155273
38,official,-0.0150834321975708
31,dietitian,-0.01151210069656372
91,chiropractor,0.0017991065979003906
28,nutritionist,0.004652976989746094
87,cook,0.004657745361328125
40,nurse,0.17967993021011353
97,housekeeper,0.22351008653640747
