index,trans,bias
46,clerical,-0.08165878057479858
50,salesperson,-0.06283688545227051
29,broker,-0.062224626541137695
54,electrician,-0.05748051404953003
5,proprietor,-0.053369760513305664
77,engineer,-0.05295276641845703
76,compositor,-0.04762852191925049
10,physicist,-0.0462108850479126
49,technician,-0.04356628656387329
48,professor,-0.043370962142944336
74,scientist,-0.041948556900024414
24,doorkeeper,-0.04173636436462402
69,judge,-0.041323304176330566
17,tradesperson,-0.040160417556762695
80,soldier,-0.04002737998962402
52,farmer,-0.03909820318222046
43,chemist,-0.03899586200714111
9,surveyor,-0.0381123423576355
35,economist,-0.036284804344177246
57,sailor,-0.03621286153793335
8,mechanic,-0.03446531295776367
67,pharmacist,-0.03327810764312744
20,baker,-0.03136324882507324
59,musician,-0.0311887264251709
92,administrator,-0.031153202056884766
90,pilot,-0.029566943645477295
96,driver,-0.028128087520599365
86,mason,-0.027976632118225098
38,official,-0.027612924575805664
82,clergy,-0.02722865343093872
12,architect,-0.026456832885742188
25,athlete,-0.026080012321472168
39,conductor,-0.023418545722961426
61,geologist,-0.02317512035369873
87,cook,-0.022466301918029785
84,shoemaker,-0.019547581672668457
42,bookbinder,-0.019007444381713867
26,bailiff,-0.018271207809448242
13,photographer,-0.018158316612243652
14,teacher,-0.018113255500793457
32,author,-0.016393661499023438
23,statistician,-0.016358613967895508
33,clerk,-0.014512419700622559
51,lawyer,-0.0139085054397583
95,gardener,-0.013328790664672852
94,police,-0.012212276458740234
6,operator,-0.012146830558776855
73,surgeon,-0.011156082153320312
2,laborer,-0.010387182235717773
98,guard,-0.009820699691772461
31,dietitian,-0.009299755096435547
7,bartender,-0.008482098579406738
71,sheriff,-0.008081197738647461
41,porter,-0.007848381996154785
78,carpenter,-0.007214188575744629
75,jeweler,-0.006604373455047607
53,veterinarian,-0.0054705142974853516
45,secretary,-0.005344033241271973
56,janitor,-0.004604756832122803
66,instructor,-0.004279971122741699
19,upholsterer,-0.0037194490432739258
3,conservationist,0.0003955364227294922
0,physician,0.0025163888931274414
1,doctor,0.0025163888931274414
64,lumberjack,0.00383150577545166
44,inspector,0.00479733943939209
93,dentist,0.007053971290588379
83,painter,0.008253931999206543
81,accountant,0.008873462677001953
91,chiropractor,0.009595751762390137
55,attendant,0.010395646095275879
72,librarian,0.010857820510864258
18,sales,0.011663436889648438
58,weaver,0.014009356498718262
63,psychologist,0.014063119888305664
21,smith,0.016932964324951172
79,artist,0.019090652465820312
4,cashier,0.019335687160491943
99,welder,0.019686341285705566
47,therapist,0.01980292797088623
65,designer,0.019994020462036133
27,dancer,0.02517712116241455
30,typesetter,0.02763265371322632
62,setter,0.030058979988098145
34,entertainer,0.03287613391876221
22,manager,0.03489184379577637
97,housekeeper,0.09594398736953735
40,nurse,0.11252331733703613
