index,trans,bias
5,proprietor,-0.06554943323135376
56,janitor,-0.06075406074523926
22,manager,-0.05933332443237305
55,attendant,-0.056877970695495605
65,designer,-0.05062425136566162
49,technician,-0.049478888511657715
42,bookbinder,-0.04852867126464844
71,sheriff,-0.04832714796066284
14,teacher,-0.045459628105163574
10,physicist,-0.0433427095413208
78,carpenter,-0.04292714595794678
25,athlete,-0.041231393814086914
29,broker,-0.040094971656799316
59,musician,-0.039996981620788574
81,accountant,-0.039838433265686035
32,author,-0.03863644599914551
48,professor,-0.03779137134552002
43,chemist,-0.037551283836364746
9,surveyor,-0.03714776039123535
44,inspector,-0.03714776039123535
74,scientist,-0.035889267921447754
38,official,-0.03539574146270752
77,engineer,-0.035205841064453125
8,mechanic,-0.035205841064453125
11,machinist,-0.035205841064453125
4,cashier,-0.03446739912033081
61,geologist,-0.03221702575683594
64,lumberjack,-0.03060293197631836
45,secretary,-0.030602693557739258
3,conservationist,-0.030583620071411133
46,clerical,-0.030198514461517334
35,economist,-0.028069615364074707
20,baker,-0.028026103973388672
12,architect,-0.02761244773864746
53,veterinarian,-0.027544021606445312
67,pharmacist,-0.026795148849487305
17,tradesperson,-0.02611088752746582
95,gardener,-0.025458037853240967
72,librarian,-0.02545166015625
54,electrician,-0.025185346603393555
21,smith,-0.025069355964660645
86,mason,-0.024588584899902344
84,shoemaker,-0.022624731063842773
87,cook,-0.022433876991271973
76,compositor,-0.01792919635772705
58,weaver,-0.01697361469268799
69,judge,-0.015246868133544922
51,lawyer,-0.01513969898223877
23,statistician,-0.013404369354248047
75,jeweler,-0.012755990028381348
66,instructor,-0.01256251335144043
2,laborer,-0.010932564735412598
39,conductor,-0.010011553764343262
92,administrator,-0.0099639892578125
96,driver,-0.009792804718017578
52,farmer,-0.008614182472229004
79,artist,-0.008253097534179688
34,entertainer,-0.008253097534179688
0,physician,-0.00753331184387207
1,doctor,-0.00753331184387207
6,operator,-0.0075037479400634766
85,plumber,-0.006173849105834961
47,therapist,-0.005962014198303223
82,clergy,-0.0059580206871032715
37,cabinetmaker,-0.005446910858154297
31,dietitian,-0.003757953643798828
90,pilot,-0.003068685531616211
63,psychologist,-0.0016100406646728516
73,surgeon,-0.0008327960968017578
33,clerk,-0.00033414363861083984
80,soldier,0.00014162063598632812
97,housekeeper,0.003403782844543457
83,painter,0.007801532745361328
93,dentist,0.010720968246459961
13,photographer,0.01151430606842041
24,doorkeeper,0.01272958517074585
30,typesetter,0.017637133598327637
18,sales,0.017882466316223145
41,porter,0.0187455415725708
98,guard,0.020530343055725098
57,sailor,0.02199554443359375
94,police,0.03207278251647949
40,nurse,0.08323448896408081
27,dancer,0.09032666683197021
