index,trans,bias
59,musician,-0.10252785682678223
25,athlete,-0.08803772926330566
61,geologist,-0.08672106266021729
10,physicist,-0.084786057472229
90,pilot,-0.07908201217651367
23,statistician,-0.0737454891204834
76,compositor,-0.073647141456604
74,scientist,-0.07169795036315918
39,conductor,-0.071388840675354
69,judge,-0.07071959972381592
34,entertainer,-0.07054650783538818
8,mechanic,-0.06943404674530029
11,machinist,-0.06943404674530029
43,chemist,-0.06846952438354492
63,psychologist,-0.06589984893798828
65,designer,-0.06548869609832764
92,administrator,-0.0653529167175293
22,manager,-0.0653529167175293
85,plumber,-0.0653422474861145
77,engineer,-0.06458914279937744
54,electrician,-0.06395411491394043
48,professor,-0.06024587154388428
67,pharmacist,-0.05893754959106445
7,bartender,-0.05845963954925537
35,economist,-0.05713927745819092
33,clerk,-0.05516219139099121
19,upholsterer,-0.0549921989440918
58,weaver,-0.05290067195892334
12,architect,-0.05232417583465576
49,technician,-0.05190908908843994
32,author,-0.049385666847229004
96,driver,-0.04907262325286865
41,porter,-0.048647403717041016
29,broker,-0.046798527240753174
13,photographer,-0.04669690132141113
84,shoemaker,-0.04541301727294922
53,veterinarian,-0.04403209686279297
80,soldier,-0.04388493299484253
15,optometrist,-0.04368555545806885
0,physician,-0.042601943016052246
1,doctor,-0.042601943016052246
57,sailor,-0.04193437099456787
75,jeweler,-0.041678667068481445
47,therapist,-0.041059672832489014
98,guard,-0.040843188762664795
83,painter,-0.040743112564086914
78,carpenter,-0.0407254695892334
2,laborer,-0.04026007652282715
89,newsperson,-0.039609670639038086
44,inspector,-0.03911781311035156
79,artist,-0.03883051872253418
6,operator,-0.037871360778808594
9,surveyor,-0.0375673770904541
60,waitstaff,-0.03502833843231201
91,chiropractor,-0.03453850746154785
45,secretary,-0.030681371688842773
88,draftsperson,-0.03059077262878418
5,proprietor,-0.03056412935256958
68,plasterer,-0.03023505210876465
27,dancer,-0.030066251754760742
20,baker,-0.02959465980529785
73,surgeon,-0.02900981903076172
56,janitor,-0.028614401817321777
86,mason,-0.028024673461914062
52,farmer,-0.025428295135498047
95,gardener,-0.023736000061035156
38,official,-0.023290514945983887
30,typesetter,-0.023181915283203125
14,teacher,-0.02109241485595703
66,instructor,-0.01998305320739746
82,clergy,-0.01639270782470703
71,sheriff,-0.0141068696975708
87,cook,-0.013695955276489258
94,police,-0.009337186813354492
3,conservationist,-0.0018831491470336914
62,setter,-0.0010162591934204102
18,sales,0.0013611316680908203
36,boilermaker,0.0038164854049682617
72,librarian,0.004557371139526367
99,welder,0.01005566120147705
46,clerical,0.021145939826965332
31,dietitian,0.034673094749450684
4,cashier,0.056032657623291016
28,nutritionist,0.06600582599639893
40,nurse,0.0765460729598999
55,attendant,0.08221858739852905
