index,trans,bias
92,administrator,-0.07264530658721924
50,salesperson,-0.07111227512359619
64,lumberjack,-0.06483012437820435
5,proprietor,-0.06469672918319702
71,sheriff,-0.06108510494232178
56,janitor,-0.05798196792602539
44,inspector,-0.055548906326293945
37,cabinetmaker,-0.05533033609390259
78,carpenter,-0.05533033609390259
85,plumber,-0.05336397886276245
66,instructor,-0.05267155170440674
61,geologist,-0.05248725414276123
22,manager,-0.05027210712432861
11,machinist,-0.050249338150024414
77,engineer,-0.050249338150024414
51,lawyer,-0.0492100715637207
14,teacher,-0.04662144184112549
12,architect,-0.04396224021911621
47,therapist,-0.04370260238647461
0,physician,-0.04370260238647461
1,doctor,-0.04370260238647461
25,athlete,-0.041745543479919434
8,mechanic,-0.04041588306427002
63,psychologist,-0.0379641056060791
59,musician,-0.036907196044921875
21,smith,-0.03486466407775879
96,driver,-0.03298020362854004
81,accountant,-0.031925737857818604
52,farmer,-0.030021846294403076
9,surveyor,-0.029538631439208984
32,author,-0.025601863861083984
57,sailor,-0.02552926540374756
29,broker,-0.02488112449645996
24,doorkeeper,-0.02486109733581543
55,attendant,-0.024186253547668457
79,artist,-0.02358400821685791
39,conductor,-0.022568106651306152
6,operator,-0.020681023597717285
48,professor,-0.02058863639831543
83,painter,-0.019658446311950684
90,pilot,-0.019278883934020996
13,photographer,-0.01925790309906006
98,guard,-0.017840981483459473
33,clerk,-0.017397165298461914
53,veterinarian,-0.01575648784637451
43,chemist,-0.014833569526672363
38,official,-0.013277411460876465
23,statistician,-0.012621879577636719
58,weaver,-0.01230621337890625
35,economist,-0.010965943336486816
94,police,-0.010430335998535156
65,designer,-0.00942695140838623
82,clergy,-0.00927734375
75,jeweler,-0.007049679756164551
49,technician,-0.004483580589294434
95,gardener,-0.00402224063873291
69,judge,-0.0028449296951293945
2,laborer,-0.0010355710983276367
99,welder,0.0019577741622924805
45,secretary,0.003130197525024414
46,clerical,0.004824995994567871
84,shoemaker,0.004828453063964844
3,conservationist,0.005520224571228027
87,cook,0.005729258060455322
74,scientist,0.007341980934143066
67,pharmacist,0.013968944549560547
34,entertainer,0.0158843994140625
28,nutritionist,0.02374267578125
27,dancer,0.024406015872955322
18,sales,0.035100698471069336
40,nurse,0.043913960456848145
97,housekeeper,0.07646799087524414
