index,trans,bias
96,driver,-0.06262862682342529
48,professor,-0.05134880542755127
44,inspector,-0.04973721504211426
49,technician,-0.04770958423614502
39,conductor,-0.046151041984558105
59,musician,-0.042174577713012695
5,proprietor,-0.04127824306488037
56,janitor,-0.040557146072387695
10,physicist,-0.03978395462036133
75,jeweler,-0.03460836410522461
30,typesetter,-0.03437685966491699
92,administrator,-0.03189051151275635
51,lawyer,-0.031100690364837646
29,broker,-0.02746438980102539
74,scientist,-0.024784088134765625
11,machinist,-0.02465999126434326
83,painter,-0.024306774139404297
71,sheriff,-0.023406982421875
17,tradesperson,-0.022093653678894043
7,bartender,-0.02082085609436035
12,architect,-0.019350051879882812
50,salesperson,-0.019169926643371582
69,judge,-0.017624974250793457
94,police,-0.017592430114746094
77,engineer,-0.017165184020996094
67,pharmacist,-0.015941739082336426
9,surveyor,-0.015766620635986328
64,lumberjack,-0.013529658317565918
4,cashier,-0.012599945068359375
62,setter,-0.012423992156982422
35,economist,-0.012389421463012695
98,guard,-0.012049436569213867
81,accountant,-0.010749340057373047
89,newsperson,-0.009903550148010254
72,librarian,-0.009723782539367676
57,sailor,-0.008406639099121094
6,operator,-0.007752776145935059
80,soldier,-0.005946993827819824
66,instructor,-0.004646658897399902
82,clergy,-0.004008054733276367
14,teacher,-0.003834962844848633
32,author,-0.003481149673461914
45,secretary,-0.0012197494506835938
47,therapist,-0.0003014802932739258
0,physician,-0.0003014802932739258
1,doctor,-0.0003014802932739258
41,porter,0.0008398294448852539
63,psychologist,0.0023086071014404297
3,conservationist,0.0024198293685913086
38,official,0.002934098243713379
90,pilot,0.004142642021179199
87,cook,0.00426030158996582
52,farmer,0.0059812068939208984
18,sales,0.013485312461853027
60,waitstaff,0.014813899993896484
46,clerical,0.014814019203186035
8,mechanic,0.016975760459899902
25,athlete,0.018168926239013672
34,entertainer,0.024196624755859375
65,designer,0.02551400661468506
2,laborer,0.027312040328979492
55,attendant,0.03873252868652344
58,weaver,0.04796791076660156
79,artist,0.059400975704193115
27,dancer,0.06360036134719849
40,nurse,0.08055227994918823
