index,trans,bias
74,scientist,-0.11082059144973755
86,mason,-0.10664522647857666
78,carpenter,-0.10627061128616333
30,typesetter,-0.10405373573303223
77,engineer,-0.09868085384368896
32,author,-0.09748351573944092
21,smith,-0.09083825349807739
65,designer,-0.0891730785369873
8,mechanic,-0.08806335926055908
61,geologist,-0.08736026287078857
64,lumberjack,-0.0871286392211914
37,cabinetmaker,-0.08689188957214355
80,soldier,-0.08377403020858765
28,nutritionist,-0.08317887783050537
41,porter,-0.08171945810317993
39,conductor,-0.08055269718170166
52,farmer,-0.08049410581588745
66,instructor,-0.08002281188964844
2,laborer,-0.07961511611938477
4,cashier,-0.0795087218284607
99,welder,-0.07883667945861816
71,sheriff,-0.07787418365478516
95,gardener,-0.076759934425354
9,surveyor,-0.07643449306488037
36,boilermaker,-0.07622474431991577
83,painter,-0.07605481147766113
12,architect,-0.07462489604949951
73,surgeon,-0.0708550214767456
70,toolmaker,-0.06991994380950928
55,attendant,-0.06887692213058472
75,jeweler,-0.06797659397125244
57,sailor,-0.06754130125045776
56,janitor,-0.06706464290618896
13,photographer,-0.06698775291442871
43,chemist,-0.06663179397583008
50,salesperson,-0.06654363870620728
96,driver,-0.06651192903518677
49,technician,-0.06581664085388184
92,administrator,-0.06550478935241699
76,compositor,-0.064400315284729
54,electrician,-0.063498854637146
90,pilot,-0.06297647953033447
63,psychologist,-0.06271696090698242
27,dancer,-0.06250089406967163
0,physician,-0.06202274560928345
1,doctor,-0.06202274560928345
35,economist,-0.06088364124298096
68,plasterer,-0.06064403057098389
84,shoemaker,-0.05851709842681885
11,machinist,-0.05820488929748535
6,operator,-0.057975053787231445
44,inspector,-0.057456016540527344
82,clergy,-0.05724203586578369
51,lawyer,-0.05722242593765259
67,pharmacist,-0.05649060010910034
72,librarian,-0.05646061897277832
53,veterinarian,-0.05609607696533203
45,secretary,-0.05566227436065674
20,baker,-0.054311156272888184
3,conservationist,-0.053951382637023926
93,dentist,-0.05236506462097168
58,weaver,-0.05061066150665283
69,judge,-0.04931527376174927
34,entertainer,-0.048485398292541504
59,musician,-0.047709107398986816
19,upholsterer,-0.047591567039489746
42,bookbinder,-0.04666638374328613
33,clerk,-0.0448760986328125
38,official,-0.04381716251373291
85,plumber,-0.04298138618469238
7,bartender,-0.040462493896484375
15,optometrist,-0.04028642177581787
62,setter,-0.039809465408325195
24,doorkeeper,-0.03919416666030884
91,chiropractor,-0.038889527320861816
10,physicist,-0.03824114799499512
5,proprietor,-0.03685641288757324
79,artist,-0.028786182403564453
22,manager,-0.02487969398498535
46,clerical,-0.02396857738494873
94,police,-0.02213895320892334
81,accountant,-0.02187657356262207
98,guard,-0.017624735832214355
29,broker,-0.013522863388061523
31,dietitian,-0.011699795722961426
14,teacher,-0.003478825092315674
60,waitstaff,-0.0033338069915771484
87,cook,0.0017012357711791992
16,millwright,0.012379765510559082
47,therapist,0.01837247610092163
25,athlete,0.022247672080993652
97,housekeeper,0.09755450487136841
48,professor,0.11081326007843018
40,nurse,0.11104738712310791
