index,trans,bias
80,soldier,-0.1171494722366333
11,machinist,-0.09898412227630615
49,technician,-0.09670978784561157
72,librarian,-0.09440475702285767
33,clerk,-0.09333878755569458
46,clerical,-0.09106051921844482
16,millwright,-0.08985567092895508
17,tradesperson,-0.08930915594100952
1,doctor,-0.08904880285263062
58,weaver,-0.08583778142929077
78,carpenter,-0.08393442630767822
63,psychologist,-0.08129924535751343
67,pharmacist,-0.08077222108840942
26,bailiff,-0.0794420838356018
43,chemist,-0.07828342914581299
77,engineer,-0.07824629545211792
86,mason,-0.07812511920928955
35,economist,-0.07718729972839355
30,typesetter,-0.07427096366882324
76,compositor,-0.07427096366882324
98,guard,-0.0737345814704895
2,laborer,-0.07292300462722778
39,conductor,-0.0700751543045044
42,bookbinder,-0.06795012950897217
92,administrator,-0.06792575120925903
32,author,-0.06728559732437134
52,farmer,-0.06464368104934692
83,painter,-0.06449699401855469
28,nutritionist,-0.06429523229598999
31,dietitian,-0.06429523229598999
99,welder,-0.06317460536956787
94,police,-0.06201732158660889
21,smith,-0.0606083869934082
62,setter,-0.059800565242767334
69,judge,-0.05964970588684082
87,cook,-0.05910766124725342
82,clergy,-0.05674058198928833
57,sailor,-0.055297791957855225
85,plumber,-0.055254459381103516
88,draftsperson,-0.05291402339935303
56,janitor,-0.052680134773254395
96,driver,-0.051378846168518066
90,pilot,-0.050330162048339844
64,lumberjack,-0.04983711242675781
74,scientist,-0.049586594104766846
84,shoemaker,-0.048307061195373535
38,official,-0.046917736530303955
89,newsperson,-0.04677379131317139
24,doorkeeper,-0.04486548900604248
41,porter,-0.04486548900604248
47,therapist,-0.040799617767333984
79,artist,-0.04061847925186157
18,sales,-0.040493130683898926
14,teacher,-0.04015636444091797
55,attendant,-0.03934448957443237
65,designer,-0.03924453258514404
12,architect,-0.03917902708053589
81,accountant,-0.0372738242149353
29,broker,-0.03448593616485596
22,manager,-0.032293856143951416
45,secretary,-0.032045602798461914
51,lawyer,-0.029434502124786377
9,surveyor,-0.0280035138130188
48,professor,-0.023048698902130127
34,entertainer,-0.020079851150512695
8,mechanic,-0.018962979316711426
53,veterinarian,-0.01892036199569702
44,inspector,-0.01638507843017578
60,waitstaff,-0.01547330617904663
59,musician,-0.012869656085968018
5,proprietor,-0.012695074081420898
95,gardener,-0.01242971420288086
6,operator,-0.005909919738769531
54,electrician,0.00045418739318847656
68,plasterer,0.0044342875480651855
7,bartender,0.008299589157104492
66,instructor,0.008781373500823975
97,housekeeper,0.05822300910949707
40,nurse,0.07176882028579712
