index,trans,bias
9,surveyor,-0.09971797466278076
95,gardener,-0.09846198558807373
82,clergy,-0.09035277366638184
86,mason,-0.09015190601348877
56,janitor,-0.08510971069335938
84,shoemaker,-0.08405494689941406
17,tradesperson,-0.08394265174865723
87,cook,-0.07899409532546997
8,mechanic,-0.0725400447845459
78,carpenter,-0.0720108151435852
64,lumberjack,-0.07190549373626709
52,farmer,-0.07188141345977783
2,laborer,-0.07129895687103271
14,teacher,-0.06969994306564331
29,broker,-0.06882137060165405
63,psychologist,-0.06857621669769287
23,statistician,-0.06582450866699219
57,sailor,-0.06564795970916748
4,cashier,-0.06461745500564575
75,jeweler,-0.06396245956420898
81,accountant,-0.06386315822601318
22,manager,-0.05949997901916504
96,driver,-0.05827832221984863
49,technician,-0.057089805603027344
39,conductor,-0.05537104606628418
92,administrator,-0.055362582206726074
48,professor,-0.054770588874816895
90,pilot,-0.05432748794555664
11,machinist,-0.05332118272781372
61,geologist,-0.05252683162689209
6,operator,-0.05249941349029541
59,musician,-0.05143082141876221
38,official,-0.05065774917602539
53,veterinarian,-0.05041646957397461
77,engineer,-0.05040431022644043
0,physician,-0.050292134284973145
1,doctor,-0.050292134284973145
93,dentist,-0.0499882698059082
74,scientist,-0.04887223243713379
66,instructor,-0.04824268817901611
27,dancer,-0.047629475593566895
79,artist,-0.04583930969238281
83,painter,-0.04500293731689453
21,smith,-0.04320240020751953
72,librarian,-0.04125773906707764
33,clerk,-0.04013693332672119
35,economist,-0.0397263765335083
10,physicist,-0.03923189640045166
67,pharmacist,-0.03852498531341553
12,architect,-0.03749978542327881
76,compositor,-0.03676450252532959
54,electrician,-0.03602159023284912
71,sheriff,-0.03509068489074707
43,chemist,-0.03503549098968506
25,athlete,-0.033411502838134766
5,proprietor,-0.03244376182556152
13,photographer,-0.03225970268249512
7,bartender,-0.0287858247756958
50,salesperson,-0.028140783309936523
98,guard,-0.0280611515045166
41,porter,-0.025995850563049316
51,lawyer,-0.025399327278137207
44,inspector,-0.0245053768157959
94,police,-0.024082183837890625
69,judge,-0.022752761840820312
73,surgeon,-0.013589739799499512
80,soldier,-0.013201355934143066
55,attendant,-0.007070779800415039
58,weaver,-0.002300739288330078
46,clerical,0.006470799446105957
45,secretary,0.030750513076782227
97,housekeeper,0.038955509662628174
65,designer,0.059413909912109375
40,nurse,0.07175201177597046
32,author,0.0764394998550415
