index,trans,bias
61,geologist,-0.0726085901260376
74,scientist,-0.0683971643447876
20,baker,-0.0663989782333374
4,cashier,-0.06377971172332764
86,mason,-0.06263399124145508
90,pilot,-0.060150861740112305
14,teacher,-0.05961543321609497
84,shoemaker,-0.059611737728118896
23,statistician,-0.05957341194152832
5,proprietor,-0.05922454595565796
75,jeweler,-0.05797874927520752
95,gardener,-0.05630230903625488
77,engineer,-0.0561906099319458
33,clerk,-0.055119872093200684
71,sheriff,-0.05191349983215332
3,conservationist,-0.0510479211807251
65,designer,-0.0509340763092041
87,cook,-0.05063927173614502
63,psychologist,-0.050394535064697266
62,setter,-0.048845887184143066
9,surveyor,-0.04799962043762207
12,architect,-0.04759824275970459
52,farmer,-0.046354055404663086
54,electrician,-0.04447448253631592
96,driver,-0.04285717010498047
66,instructor,-0.04207134246826172
11,machinist,-0.04190373420715332
68,plasterer,-0.04132890701293945
22,manager,-0.037354230880737305
18,sales,-0.03719496726989746
48,professor,-0.037185072898864746
29,broker,-0.03706026077270508
8,mechanic,-0.03685808181762695
49,technician,-0.036742448806762695
53,veterinarian,-0.03661501407623291
93,dentist,-0.03641033172607422
25,athlete,-0.035658836364746094
78,carpenter,-0.03528022766113281
67,pharmacist,-0.0345691442489624
79,artist,-0.034287095069885254
50,salesperson,-0.034135639667510986
51,lawyer,-0.03308093547821045
43,chemist,-0.032752275466918945
92,administrator,-0.03210258483886719
83,painter,-0.030903220176696777
80,soldier,-0.02995932102203369
10,physicist,-0.02871835231781006
39,conductor,-0.028376460075378418
85,plumber,-0.02642238140106201
44,inspector,-0.02604234218597412
35,economist,-0.025970458984375
0,physician,-0.02517259120941162
1,doctor,-0.02517259120941162
59,musician,-0.024954915046691895
73,surgeon,-0.024875521659851074
2,laborer,-0.024698734283447266
69,judge,-0.024695992469787598
76,compositor,-0.024252891540527344
17,tradesperson,-0.02339303493499756
41,porter,-0.023023605346679688
82,clergy,-0.022699952125549316
26,bailiff,-0.021702170372009277
7,bartender,-0.021079421043395996
89,newsperson,-0.018012404441833496
47,therapist,-0.01544344425201416
38,official,-0.010136246681213379
72,librarian,-0.008071303367614746
32,author,-0.00632166862487793
37,cabinetmaker,-0.004871964454650879
64,lumberjack,-0.004629969596862793
46,clerical,0.0002607107162475586
30,typesetter,0.001525282859802246
57,sailor,0.0018302202224731445
6,operator,0.003130316734313965
42,bookbinder,0.004788994789123535
94,police,0.008916616439819336
55,attendant,0.015018105506896973
98,guard,0.027552485466003418
81,accountant,0.0666816234588623
27,dancer,0.08079153299331665
45,secretary,0.09913074970245361
58,weaver,0.1330125331878662
40,nurse,0.14915859699249268
