index,trans,bias
76,compositor,-0.06966650485992432
98,guard,-0.05522674322128296
75,jeweler,-0.05364006757736206
26,bailiff,-0.051313161849975586
4,cashier,-0.050194621086120605
29,broker,-0.04840397834777832
35,economist,-0.047133445739746094
80,soldier,-0.04045605659484863
59,musician,-0.03903484344482422
66,instructor,-0.038919150829315186
56,janitor,-0.03864973783493042
94,police,-0.037853360176086426
69,judge,-0.03602123260498047
11,machinist,-0.034960389137268066
20,baker,-0.03487837314605713
8,mechanic,-0.034810423851013184
81,accountant,-0.0342181921005249
51,lawyer,-0.03417479991912842
23,statistician,-0.03320205211639404
72,librarian,-0.030739784240722656
44,inspector,-0.030640482902526855
5,proprietor,-0.030481278896331787
3,conservationist,-0.03012704849243164
96,driver,-0.029742121696472168
71,sheriff,-0.028739213943481445
33,clerk,-0.028455257415771484
37,cabinetmaker,-0.028314709663391113
78,carpenter,-0.028314709663391113
32,author,-0.027327775955200195
22,manager,-0.02346956729888916
17,tradesperson,-0.02336418628692627
99,welder,-0.022996068000793457
10,physicist,-0.02212679386138916
38,official,-0.02101874351501465
57,sailor,-0.02092576026916504
82,clergy,-0.020273685455322266
6,operator,-0.018839120864868164
74,scientist,-0.018410682678222656
1,doctor,-0.01827239990234375
62,setter,-0.017181754112243652
55,attendant,-0.014829277992248535
90,pilot,-0.014522075653076172
12,architect,-0.012868285179138184
48,professor,-0.01223742961883545
77,engineer,-0.012189149856567383
52,farmer,-0.010849297046661377
95,gardener,-0.008420586585998535
84,shoemaker,-0.0077173709869384766
88,draftsperson,-0.007704734802246094
43,chemist,-0.0075386762619018555
83,painter,-0.007310152053833008
79,artist,-0.00556337833404541
61,geologist,-0.005010128021240234
0,physician,-0.0048749446868896484
73,surgeon,-0.004854798316955566
92,administrator,-0.004800677299499512
39,conductor,-0.002707362174987793
68,plasterer,-0.0018078088760375977
41,porter,-0.001475691795349121
45,secretary,0.0002732276916503906
14,teacher,0.0008512735366821289
50,salesperson,0.001056969165802002
27,dancer,0.0019081830978393555
7,bartender,0.002782583236694336
93,dentist,0.007917284965515137
13,photographer,0.008082270622253418
89,newsperson,0.009989619255065918
36,boilermaker,0.010600805282592773
25,athlete,0.010963082313537598
34,entertainer,0.015059351921081543
63,psychologist,0.01565992832183838
87,cook,0.017788052558898926
60,waitstaff,0.019744038581848145
53,veterinarian,0.020161032676696777
9,surveyor,0.020529985427856445
49,technician,0.020531892776489258
47,therapist,0.02062124013900757
18,sales,0.02666294574737549
64,lumberjack,0.02742445468902588
67,pharmacist,0.02978837490081787
65,designer,0.030372142791748047
2,laborer,0.05248558521270752
97,housekeeper,0.05372422933578491
46,clerical,0.06331950426101685
