index,trans,bias
90,pilot,-0.0005383491516113281
21,smith,0.0024660825729370117
94,police,0.005117893218994141
29,broker,0.007010459899902344
34,entertainer,0.009278655052185059
55,attendant,0.009564757347106934
49,technician,0.012584567070007324
0,physician,0.014208197593688965
1,doctor,0.014208197593688965
76,compositor,0.014362573623657227
32,author,0.014362573623657227
25,athlete,0.017136335372924805
77,engineer,0.01764833927154541
86,mason,0.019050002098083496
66,instructor,0.020052790641784668
98,guard,0.020938634872436523
80,soldier,0.02228724956512451
39,conductor,0.02657163143157959
46,clerical,0.028136372566223145
74,scientist,0.02846205234527588
14,teacher,0.029618144035339355
41,porter,0.030027389526367188
45,secretary,0.030811548233032227
8,mechanic,0.030978679656982422
57,sailor,0.03173422813415527
22,manager,0.03602635860443115
71,sheriff,0.03694415092468262
72,librarian,0.03742027282714844
38,official,0.037923336029052734
87,cook,0.03801167011260986
82,clergy,0.0403057336807251
7,bartender,0.041023969650268555
92,administrator,0.04187464714050293
59,musician,0.04233407974243164
27,dancer,0.04301798343658447
83,painter,0.0430755615234375
54,electrician,0.0451812744140625
52,farmer,0.045218586921691895
48,professor,0.045850396156311035
51,lawyer,0.04590952396392822
33,clerk,0.04640686511993408
96,driver,0.04783749580383301
4,cashier,0.049123287200927734
12,architect,0.049147844314575195
62,setter,0.051038384437561035
6,operator,0.052168965339660645
9,surveyor,0.052227139472961426
28,nutritionist,0.05301332473754883
79,artist,0.05579173564910889
65,designer,0.05738520622253418
3,conservationist,0.05974853038787842
40,nurse,0.06676292419433594
44,inspector,0.06775128841400146
18,sales,0.06843245029449463
17,tradesperson,0.06896156072616577
50,salesperson,0.06896156072616577
81,accountant,0.07414567470550537
2,laborer,0.07690179347991943
