index,trans,bias
64,lumberjack,-0.13464808464050293
30,typesetter,-0.12555146217346191
20,baker,-0.12258648872375488
25,athlete,-0.11421847343444824
62,setter,-0.11313456296920776
50,salesperson,-0.11214941740036011
5,proprietor,-0.10955405235290527
39,conductor,-0.10590857267379761
82,clergy,-0.1049501895904541
76,compositor,-0.10417985916137695
24,doorkeeper,-0.1012423038482666
90,pilot,-0.10094499588012695
57,sailor,-0.09956556558609009
68,plasterer,-0.09943127632141113
8,mechanic,-0.09941327571868896
11,machinist,-0.09941327571868896
17,tradesperson,-0.09896880388259888
14,teacher,-0.09867465496063232
77,engineer,-0.09833371639251709
32,author,-0.0975503921508789
66,instructor,-0.0975140929222107
80,soldier,-0.09733903408050537
70,toolmaker,-0.09523212909698486
59,musician,-0.09521806240081787
2,laborer,-0.09419107437133789
21,smith,-0.09301596879959106
27,dancer,-0.09235954284667969
42,bookbinder,-0.09234845638275146
96,driver,-0.09178829193115234
56,janitor,-0.08945739269256592
33,clerk,-0.08889025449752808
38,official,-0.08889025449752808
35,economist,-0.08811187744140625
7,bartender,-0.08701509237289429
44,inspector,-0.08631330728530884
9,surveyor,-0.08631330728530884
65,designer,-0.08628249168395996
55,attendant,-0.08592164516448975
92,administrator,-0.08506578207015991
1,doctor,-0.08460086584091187
91,chiropractor,-0.08377313613891602
26,bailiff,-0.08308053016662598
71,sheriff,-0.07893747091293335
84,shoemaker,-0.07846170663833618
69,judge,-0.0780484676361084
83,painter,-0.0768730640411377
54,electrician,-0.07632094621658325
3,conservationist,-0.07616698741912842
4,cashier,-0.07614701986312866
60,waitstaff,-0.07556641101837158
52,farmer,-0.07517069578170776
74,scientist,-0.07457870244979858
29,broker,-0.07456839084625244
61,geologist,-0.0723872184753418
51,lawyer,-0.07217133045196533
6,operator,-0.07205671072006226
99,welder,-0.07103574275970459
93,dentist,-0.06974613666534424
95,gardener,-0.06876873970031738
67,pharmacist,-0.06710338592529297
72,librarian,-0.06620669364929199
34,entertainer,-0.06602442264556885
73,surgeon,-0.06486982107162476
45,secretary,-0.06306779384613037
12,architect,-0.060855746269226074
43,chemist,-0.05701565742492676
75,jeweler,-0.05625396966934204
23,statistician,-0.05580854415893555
10,physicist,-0.054657936096191406
79,artist,-0.053711652755737305
13,photographer,-0.05364483594894409
36,boilermaker,-0.053380489349365234
81,accountant,-0.05091983079910278
19,upholsterer,-0.048770904541015625
22,manager,-0.04641443490982056
85,plumber,-0.04354572296142578
49,technician,-0.043537259101867676
46,clerical,-0.04122459888458252
48,professor,-0.04121363162994385
41,porter,-0.03619837760925293
58,weaver,-0.0300750732421875
47,therapist,-0.02646350860595703
86,mason,-0.023972272872924805
98,guard,-0.023931443691253662
31,dietitian,-0.020273685455322266
18,sales,-0.0066716670989990234
63,psychologist,0.006829380989074707
89,newsperson,0.023040294647216797
87,cook,0.025372028350830078
40,nurse,0.14028221368789673
