index,trans,bias
66,instructor,-0.1375730037689209
30,typesetter,-0.13478410243988037
17,tradesperson,-0.13320600986480713
77,engineer,-0.12471628189086914
21,smith,-0.12402832508087158
65,designer,-0.12089371681213379
80,soldier,-0.11878472566604614
99,welder,-0.11803650856018066
48,professor,-0.11724108457565308
14,teacher,-0.11724108457565308
5,proprietor,-0.11315834522247314
12,architect,-0.11281299591064453
59,musician,-0.1122092604637146
81,accountant,-0.11060863733291626
64,lumberjack,-0.10766392946243286
8,mechanic,-0.10663509368896484
85,plumber,-0.10595142841339111
45,secretary,-0.10558462142944336
6,operator,-0.10486257076263428
92,administrator,-0.10484170913696289
7,bartender,-0.1036839485168457
61,geologist,-0.10259068012237549
52,farmer,-0.10137283802032471
43,chemist,-0.09934806823730469
51,lawyer,-0.09857052564620972
71,sheriff,-0.0984923243522644
90,pilot,-0.0973653793334961
41,porter,-0.09672081470489502
24,doorkeeper,-0.09672081470489502
86,mason,-0.09534794092178345
57,sailor,-0.09530085325241089
49,technician,-0.09435915946960449
78,carpenter,-0.09377723932266235
9,surveyor,-0.09307253360748291
76,compositor,-0.09056329727172852
50,salesperson,-0.09038138389587402
54,electrician,-0.0884084701538086
29,broker,-0.0865815281867981
39,conductor,-0.08655869960784912
73,surgeon,-0.08611321449279785
74,scientist,-0.08505237102508545
56,janitor,-0.0849142074584961
35,economist,-0.08477330207824707
68,plasterer,-0.08425724506378174
10,physicist,-0.08273208141326904
83,painter,-0.08265948295593262
69,judge,-0.08165061473846436
2,laborer,-0.08115863800048828
33,clerk,-0.07789814472198486
44,inspector,-0.07735574245452881
37,cabinetmaker,-0.07719099521636963
75,jeweler,-0.07690620422363281
19,upholsterer,-0.07512402534484863
1,doctor,-0.07411003112792969
0,physician,-0.07411003112792969
72,librarian,-0.07388198375701904
63,psychologist,-0.07341384887695312
11,machinist,-0.07173919677734375
82,clergy,-0.07121062278747559
67,pharmacist,-0.06897485256195068
84,shoemaker,-0.0680919885635376
62,setter,-0.06805264949798584
96,driver,-0.06726139783859253
32,author,-0.06574392318725586
53,veterinarian,-0.06447786092758179
13,photographer,-0.06443440914154053
95,gardener,-0.061702191829681396
20,baker,-0.05751067399978638
23,statistician,-0.05731403827667236
58,weaver,-0.05519580841064453
42,bookbinder,-0.05497324466705322
91,chiropractor,-0.045188307762145996
27,dancer,-0.04038369655609131
31,dietitian,-0.03465008735656738
3,conservationist,-0.032912492752075195
38,official,-0.03140425682067871
60,waitstaff,-0.029028892517089844
89,newsperson,-0.028786778450012207
15,optometrist,-0.028747081756591797
98,guard,-0.026025116443634033
46,clerical,-0.02541816234588623
93,dentist,-0.024123728275299072
55,attendant,-0.023777246475219727
25,athlete,-0.01843094825744629
4,cashier,-0.006502509117126465
94,police,-0.004857778549194336
34,entertainer,0.0011432170867919922
79,artist,0.0011432170867919922
28,nutritionist,0.003965973854064941
18,sales,0.019678831100463867
47,therapist,0.021996736526489258
87,cook,0.025609910488128662
97,housekeeper,0.14187467098236084
40,nurse,0.15810275077819824
