index,trans,bias
84,shoemaker,-0.11822068691253662
6,operator,-0.11516070365905762
81,accountant,-0.11492776870727539
49,technician,-0.11041367053985596
92,administrator,-0.10846668481826782
22,manager,-0.10846668481826782
44,inspector,-0.10458028316497803
9,surveyor,-0.10458028316497803
78,carpenter,-0.10390353202819824
20,baker,-0.09615588188171387
76,compositor,-0.09598410129547119
83,painter,-0.09285604953765869
85,plumber,-0.09141218662261963
87,cook,-0.09139513969421387
69,judge,-0.08967256546020508
51,lawyer,-0.08866214752197266
54,electrician,-0.0876883864402771
65,designer,-0.0864180326461792
95,gardener,-0.08576303720474243
59,musician,-0.08534407615661621
70,toolmaker,-0.085235595703125
66,instructor,-0.08485907316207886
35,economist,-0.0844278335571289
33,clerk,-0.08414822816848755
14,teacher,-0.08413982391357422
42,bookbinder,-0.0840722918510437
68,plasterer,-0.07954919338226318
23,statistician,-0.07899963855743408
98,guard,-0.07811343669891357
56,janitor,-0.07691735029220581
24,doorkeeper,-0.07691735029220581
77,engineer,-0.07685971260070801
5,proprietor,-0.07617062330245972
43,chemist,-0.07288634777069092
10,physicist,-0.07244229316711426
12,architect,-0.07242858409881592
39,conductor,-0.07193630933761597
47,therapist,-0.07094740867614746
25,athlete,-0.07061338424682617
0,physician,-0.07033646106719971
61,geologist,-0.07009124755859375
21,smith,-0.06995117664337158
57,sailor,-0.06989455223083496
8,mechanic,-0.06930136680603027
86,mason,-0.06865644454956055
26,bailiff,-0.06725955009460449
63,psychologist,-0.06557273864746094
94,police,-0.06404411792755127
46,clerical,-0.0632622241973877
2,laborer,-0.06253021955490112
13,photographer,-0.062180280685424805
75,jeweler,-0.06211495399475098
3,conservationist,-0.05937469005584717
71,sheriff,-0.05915069580078125
80,soldier,-0.0590667724609375
52,farmer,-0.05887472629547119
1,doctor,-0.05596351623535156
29,broker,-0.05561423301696777
93,dentist,-0.05549180507659912
90,pilot,-0.05490541458129883
72,librarian,-0.05437648296356201
99,welder,-0.053827881813049316
41,porter,-0.05229663848876953
32,author,-0.05189859867095947
67,pharmacist,-0.04897141456604004
45,secretary,-0.048018693923950195
73,surgeon,-0.04722726345062256
37,cabinetmaker,-0.04284226894378662
79,artist,-0.04134166240692139
82,clergy,-0.04041731357574463
38,official,-0.03750026226043701
7,bartender,-0.03409779071807861
4,cashier,-0.03199970722198486
27,dancer,-0.024343132972717285
36,boilermaker,-0.024337172508239746
18,sales,-0.0028221607208251953
34,entertainer,0.05672895908355713
97,housekeeper,0.05903226137161255
