index,trans,bias
36,boilermaker,-0.12323719263076782
76,compositor,-0.11692440509796143
70,toolmaker,-0.11182492971420288
57,sailor,-0.1108432412147522
95,gardener,-0.10889029502868652
55,attendant,-0.1012917160987854
21,smith,-0.10086512565612793
25,athlete,-0.10026514530181885
86,mason,-0.09708899259567261
24,doorkeeper,-0.09631788730621338
64,lumberjack,-0.09417295455932617
46,clerical,-0.09245407581329346
82,clergy,-0.09066551923751831
49,technician,-0.08742403984069824
56,janitor,-0.08712971210479736
11,machinist,-0.08692789077758789
84,shoemaker,-0.0850946307182312
54,electrician,-0.08209168910980225
59,musician,-0.08007270097732544
9,surveyor,-0.08001053333282471
52,farmer,-0.078052818775177
16,millwright,-0.07744336128234863
80,soldier,-0.07686120271682739
99,welder,-0.07602524757385254
12,architect,-0.0732489824295044
10,physicist,-0.07228469848632812
14,teacher,-0.0717170238494873
5,proprietor,-0.0708499550819397
78,carpenter,-0.06849020719528198
37,cabinetmaker,-0.06849020719528198
7,bartender,-0.06835800409317017
85,plumber,-0.06798720359802246
20,baker,-0.06787407398223877
8,mechanic,-0.06623369455337524
39,conductor,-0.06562840938568115
90,pilot,-0.06491053104400635
77,engineer,-0.06208038330078125
35,economist,-0.06187450885772705
34,entertainer,-0.060254037380218506
15,optometrist,-0.06024402379989624
23,statistician,-0.060182929039001465
2,laborer,-0.059982895851135254
75,jeweler,-0.058834612369537354
6,operator,-0.0569305419921875
44,inspector,-0.05683016777038574
48,professor,-0.05626958608627319
73,surgeon,-0.05430901050567627
42,bookbinder,-0.05328238010406494
69,judge,-0.05114126205444336
51,lawyer,-0.05010783672332764
79,artist,-0.04985153675079346
83,painter,-0.04985153675079346
71,sheriff,-0.04909998178482056
27,dancer,-0.04819381237030029
92,administrator,-0.04818600416183472
66,instructor,-0.04748421907424927
67,pharmacist,-0.0458756685256958
29,broker,-0.045344412326812744
43,chemist,-0.04410827159881592
74,scientist,-0.042711615562438965
53,veterinarian,-0.04106074571609497
61,geologist,-0.039055824279785156
50,salesperson,-0.03785425424575806
63,psychologist,-0.0270843505859375
62,setter,-0.026193082332611084
0,physician,-0.025671005249023438
33,clerk,-0.024953842163085938
68,plasterer,-0.024524331092834473
38,official,-0.022223472595214844
1,doctor,-0.02062433958053589
22,manager,-0.01909506320953369
41,porter,-0.01801121234893799
4,cashier,-0.01619398593902588
32,author,-0.015002727508544922
81,accountant,-0.012347519397735596
28,nutritionist,-0.011033773422241211
18,sales,-0.010045409202575684
72,librarian,-0.009235024452209473
65,designer,-0.00640869140625
45,secretary,-0.0031156539916992188
13,photographer,0.005021035671234131
98,guard,0.02903151512145996
94,police,0.03189724683761597
58,weaver,0.0805215835571289
97,housekeeper,0.1004791259765625
40,nurse,0.1670440435409546
