index,trans,bias
78,carpenter,-0.10915184020996094
68,plasterer,-0.10794007778167725
96,driver,-0.09873431921005249
39,conductor,-0.09873431921005249
77,engineer,-0.09463143348693848
66,instructor,-0.09036421775817871
62,setter,-0.09001266956329346
30,typesetter,-0.09001266956329346
76,compositor,-0.09001266956329346
54,electrician,-0.08995527029037476
5,proprietor,-0.08636593818664551
84,shoemaker,-0.08002173900604248
22,manager,-0.07981455326080322
85,plumber,-0.07849442958831787
71,sheriff,-0.07615101337432861
59,musician,-0.07595574855804443
75,jeweler,-0.07540428638458252
50,salesperson,-0.0729900598526001
33,clerk,-0.0712137222290039
9,surveyor,-0.07091736793518066
25,athlete,-0.07066869735717773
11,machinist,-0.07045626640319824
90,pilot,-0.06850278377532959
51,lawyer,-0.06834137439727783
49,technician,-0.06780898571014404
95,gardener,-0.06534528732299805
6,operator,-0.06477165222167969
43,chemist,-0.06216275691986084
57,sailor,-0.060543060302734375
99,welder,-0.06000971794128418
2,laborer,-0.05787384510040283
83,painter,-0.05707383155822754
86,mason,-0.05673360824584961
58,weaver,-0.05650961399078369
14,teacher,-0.054316163063049316
12,architect,-0.05399477481842041
92,administrator,-0.05278182029724121
47,therapist,-0.05144953727722168
61,geologist,-0.05084681510925293
80,soldier,-0.05060875415802002
44,inspector,-0.05010104179382324
64,lumberjack,-0.04993116855621338
24,doorkeeper,-0.04991936683654785
8,mechanic,-0.049880385398864746
48,professor,-0.049221038818359375
42,bookbinder,-0.04794752597808838
26,bailiff,-0.047745585441589355
88,draftsperson,-0.0467606782913208
65,designer,-0.046024203300476074
41,porter,-0.04527115821838379
29,broker,-0.045065462589263916
87,cook,-0.04503911733627319
72,librarian,-0.04444849491119385
74,scientist,-0.043644070625305176
37,cabinetmaker,-0.041579365730285645
18,sales,-0.040246009826660156
21,smith,-0.04023098945617676
10,physicist,-0.038155317306518555
13,photographer,-0.038048744201660156
0,physician,-0.037871599197387695
1,doctor,-0.037871599197387695
32,author,-0.03679955005645752
63,psychologist,-0.03592681884765625
79,artist,-0.035382866859436035
69,judge,-0.03254079818725586
56,janitor,-0.0297510027885437
55,attendant,-0.029475092887878418
34,entertainer,-0.029250383377075195
81,accountant,-0.0289919376373291
7,bartender,-0.026341557502746582
27,dancer,-0.022997021675109863
46,clerical,-0.0226670503616333
52,farmer,-0.022059202194213867
67,pharmacist,-0.021742582321166992
35,economist,-0.021390199661254883
73,surgeon,-0.020926713943481445
82,clergy,-0.01793825626373291
53,veterinarian,-0.01588428020477295
23,statistician,-0.015407085418701172
93,dentist,-0.011657953262329102
4,cashier,-0.003915190696716309
94,police,0.007953047752380371
98,guard,0.011320352554321289
38,official,0.015688061714172363
28,nutritionist,0.022838115692138672
97,housekeeper,0.05534464120864868
45,secretary,0.07339787483215332
