index,trans,bias
59,musician,-0.09915375709533691
52,farmer,-0.0961197018623352
5,proprietor,-0.0955083966255188
77,engineer,-0.09368860721588135
9,surveyor,-0.09194862842559814
80,soldier,-0.09095817804336548
99,welder,-0.09021049737930298
8,mechanic,-0.08991992473602295
39,conductor,-0.08981525897979736
96,driver,-0.08981525897979736
7,bartender,-0.08924973011016846
61,geologist,-0.0860297679901123
17,tradesperson,-0.082400381565094
48,professor,-0.08155250549316406
14,teacher,-0.08155250549316406
29,broker,-0.0805060863494873
78,carpenter,-0.0803571343421936
12,architect,-0.08001279830932617
30,typesetter,-0.07922947406768799
63,psychologist,-0.07808518409729004
66,instructor,-0.07707369327545166
92,administrator,-0.07677644491195679
86,mason,-0.07534480094909668
90,pilot,-0.07466572523117065
64,lumberjack,-0.07357209920883179
49,technician,-0.07296359539031982
36,boilermaker,-0.0723993182182312
10,physicist,-0.07228946685791016
26,bailiff,-0.07191091775894165
71,sheriff,-0.07191091775894165
85,plumber,-0.0716596245765686
51,lawyer,-0.07054996490478516
57,sailor,-0.06895077228546143
88,draftsperson,-0.068015456199646
65,designer,-0.06659078598022461
76,compositor,-0.06645798683166504
11,machinist,-0.06554841995239258
32,author,-0.06480145454406738
74,scientist,-0.06300961971282959
81,accountant,-0.0629425048828125
41,porter,-0.06110447645187378
56,janitor,-0.06110447645187378
24,doorkeeper,-0.06110447645187378
73,surgeon,-0.060855865478515625
44,inspector,-0.06080901622772217
19,upholsterer,-0.060018301010131836
22,manager,-0.05951511859893799
50,salesperson,-0.05932658910751343
6,operator,-0.058799147605895996
1,doctor,-0.05875307321548462
0,physician,-0.05875307321548462
43,chemist,-0.05663633346557617
68,plasterer,-0.055808186531066895
37,cabinetmaker,-0.055339932441711426
60,waitstaff,-0.05488806962966919
83,painter,-0.05394524335861206
13,photographer,-0.05284619331359863
27,dancer,-0.05178922414779663
45,secretary,-0.05042755603790283
33,clerk,-0.04937267303466797
35,economist,-0.04776418209075928
69,judge,-0.04706239700317383
53,veterinarian,-0.04554027318954468
95,gardener,-0.04504501819610596
54,electrician,-0.04491734504699707
23,statistician,-0.04038572311401367
55,attendant,-0.03985726833343506
67,pharmacist,-0.039798855781555176
93,dentist,-0.0373038649559021
58,weaver,-0.03713810443878174
84,shoemaker,-0.037113964557647705
82,clergy,-0.03675639629364014
4,cashier,-0.036390721797943115
72,librarian,-0.03508627414703369
42,bookbinder,-0.03410792350769043
20,baker,-0.029777884483337402
31,dietitian,-0.02621591091156006
62,setter,-0.025876998901367188
75,jeweler,-0.02141118049621582
94,police,-0.020806074142456055
89,newsperson,-0.02079927921295166
87,cook,-0.020281553268432617
40,nurse,-0.01685965061187744
38,official,-0.015804171562194824
3,conservationist,-0.014864444732666016
2,laborer,-0.009042859077453613
79,artist,-0.0006251335144042969
34,entertainer,-0.0006251335144042969
91,chiropractor,-2.6106834411621094e-05
46,clerical,0.0032633543014526367
25,athlete,0.006377577781677246
15,optometrist,0.017061710357666016
18,sales,0.019433259963989258
47,therapist,0.020038306713104248
28,nutritionist,0.022578656673431396
