lang,Bias
Afrikaans,-0.005533855
Albanian,-0.042595655
Arabic,-0.023331283
Bengali,0.002698107
Bosnian,-0.023804301
Bulgarian,-0.023896374
Catalan,-0.040460419
Chinese,-0.035462886
Croatian,-0.035589147
Czech,-0.059041075
Danish,-0.024204034
Dutch,-0.054840639
English,-0.024109034
Estonian,-0.012275682
Finnish,0.004581459
French,-0.035864927
German,-0.03142795
Greek,-0.017833283
Hebrew,-0.037151508
Hindi,-0.022535406
Hungarian,-0.002836487
Indonesian,-0.007706707
Italian,-0.052509837
Korean,-0.050094303
Latvian,-0.042990167
Lithuanian,-0.024590831
Macedonian,-0.011803595
Malay,0.036931079
Norwegian (Bokm?l),-0.017270634
Polish,-0.071560413
Portuguese,-0.069114432
Romanian,-0.068024755
Russian,-0.050428126
Slovak,-0.047783732
Slovenian,-0.017777776
Spanish,-0.052981853
Swedish,-0.028059492
Tamil,-0.034849804
Thai,-0.028533343
Turkish,-5.25E-05
Ukrainian,-0.04122043
Vietnamese,0.090614498
