index,trans,bias
27,dancer,-0.10466957092285156
83,painter,-0.08991718292236328
44,inspector,-0.08905339241027832
28,nutritionist,-0.08437919616699219
6,operator,-0.07468748092651367
52,farmer,-0.07452130317687988
29,broker,-0.06935930252075195
22,manager,-0.0634225606918335
69,judge,-0.060761213302612305
78,carpenter,-0.06028270721435547
38,official,-0.05831193923950195
72,librarian,-0.05688011646270752
33,clerk,-0.05526459217071533
62,setter,-0.05491209030151367
18,sales,-0.05489206314086914
71,sheriff,-0.054674506187438965
11,machinist,-0.05320775508880615
87,cook,-0.05183696746826172
2,laborer,-0.05154544115066528
58,weaver,-0.04941987991333008
21,smith,-0.04626786708831787
90,pilot,-0.0457499623298645
56,janitor,-0.04566824436187744
98,guard,-0.04502463340759277
45,secretary,-0.04399001598358154
47,therapist,-0.04255878925323486
51,lawyer,-0.04223430156707764
46,clerical,-0.04194521903991699
14,teacher,-0.041816115379333496
65,designer,-0.04103732109069824
73,surgeon,-0.04006826877593994
92,administrator,-0.03831470012664795
25,athlete,-0.03548240661621094
80,soldier,-0.034397006034851074
5,proprietor,-0.0324704647064209
4,cashier,-0.03172624111175537
94,police,-0.029800891876220703
39,conductor,-0.026888012886047363
32,author,-0.023363471031188965
81,accountant,-0.021732091903686523
48,professor,-0.02078533172607422
74,scientist,-0.018367886543273926
79,artist,-0.01790463924407959
50,salesperson,-0.016633152961730957
59,musician,-0.016500473022460938
96,driver,-0.014287233352661133
93,dentist,-0.012077927589416504
63,psychologist,-0.010037541389465332
53,veterinarian,-0.005318164825439453
1,doctor,-0.005318164825439453
0,physician,-0.005318164825439453
68,plasterer,-0.005277037620544434
23,statistician,-0.004872918128967285
13,photographer,-0.0036994218826293945
10,physicist,-0.002738475799560547
67,pharmacist,-0.0016475915908813477
40,nurse,0.017147541046142578
55,attendant,0.025386333465576172
43,chemist,0.031466007232666016
97,housekeeper,0.05833125114440918
