index,trans,bias
20,baker,-0.029275119304656982
49,technician,-0.02846205234527588
69,judge,-0.025821805000305176
35,economist,-0.025379419326782227
39,conductor,-0.025250554084777832
11,machinist,-0.024579286575317383
78,carpenter,-0.02237999439239502
77,engineer,-0.02235257625579834
21,smith,-0.021490931510925293
16,millwright,-0.02098625898361206
80,soldier,-0.018320679664611816
23,statistician,-0.017937660217285156
84,shoemaker,-0.01574629545211792
12,architect,-0.015547513961791992
41,porter,-0.014890849590301514
85,plumber,-0.014365792274475098
9,surveyor,-0.013552665710449219
56,janitor,-0.013002872467041016
24,doorkeeper,-0.013002872467041016
10,physicist,-0.012674689292907715
52,farmer,-0.012532234191894531
98,guard,-0.011555016040802002
8,mechanic,-0.011543512344360352
44,inspector,-0.010256648063659668
96,driver,-0.008963584899902344
26,bailiff,-0.008294463157653809
99,welder,-0.008277654647827148
51,lawyer,-0.007901966571807861
29,broker,-0.006562709808349609
22,manager,-0.005138754844665527
92,administrator,-0.005138754844665527
61,geologist,-0.0043871402740478516
65,designer,-0.004178524017333984
57,sailor,-0.004080057144165039
83,painter,-0.0035452842712402344
59,musician,-0.002642035484313965
25,athlete,-0.001501917839050293
0,physician,-0.000883936882019043
1,doctor,-0.000883936882019043
76,compositor,0.0003148317337036133
30,typesetter,0.0003148317337036133
66,instructor,0.002107858657836914
2,laborer,0.0021660327911376953
75,jeweler,0.0023355484008789062
55,attendant,0.00379025936126709
34,entertainer,0.004728376865386963
47,therapist,0.005510210990905762
4,cashier,0.005572140216827393
67,pharmacist,0.0058602094650268555
43,chemist,0.0058602094650268555
95,gardener,0.006013214588165283
97,housekeeper,0.006966948509216309
3,conservationist,0.007653176784515381
28,nutritionist,0.008001208305358887
31,dietitian,0.008001208305358887
71,sheriff,0.009033679962158203
90,pilot,0.009067058563232422
32,author,0.009150266647338867
79,artist,0.011458873748779297
72,librarian,0.011896371841430664
54,electrician,0.012380123138427734
48,professor,0.012581706047058105
38,official,0.013060212135314941
13,photographer,0.01398921012878418
33,clerk,0.015231847763061523
94,police,0.01644003391265869
46,clerical,0.017086267471313477
63,psychologist,0.017968297004699707
62,setter,0.022288918495178223
18,sales,0.02294313907623291
87,cook,0.02317631244659424
7,bartender,0.023892760276794434
68,plasterer,0.023981094360351562
58,weaver,0.02601468563079834
14,teacher,0.02602410316467285
27,dancer,0.03827953338623047
40,nurse,0.05810731649398804
