index,trans,bias
5,proprietor,-0.098574697971344
25,athlete,-0.09477466344833374
17,tradesperson,-0.0894932746887207
59,musician,-0.08925890922546387
86,mason,-0.08679628372192383
76,compositor,-0.07892656326293945
44,inspector,-0.07865512371063232
36,boilermaker,-0.0760878324508667
52,farmer,-0.0738573670387268
9,surveyor,-0.07359492778778076
60,waitstaff,-0.07268595695495605
77,engineer,-0.07231414318084717
8,mechanic,-0.07048332691192627
98,guard,-0.06891661882400513
92,administrator,-0.06862896680831909
20,baker,-0.0677105188369751
49,technician,-0.06626629829406738
53,veterinarian,-0.06590306758880615
95,gardener,-0.06504273414611816
7,bartender,-0.06415802240371704
12,architect,-0.06338763236999512
74,scientist,-0.06247532367706299
14,teacher,-0.06121760606765747
96,driver,-0.058917105197906494
57,sailor,-0.05728411674499512
10,physicist,-0.057160139083862305
11,machinist,-0.056827425956726074
51,lawyer,-0.056722164154052734
80,soldier,-0.05658745765686035
50,salesperson,-0.05551964044570923
54,electrician,-0.05349522829055786
82,clergy,-0.0516963005065918
32,author,-0.051299214363098145
90,pilot,-0.05093812942504883
56,janitor,-0.05059140920639038
83,painter,-0.05032956600189209
79,artist,-0.05032956600189209
3,conservationist,-0.05024385452270508
24,doorkeeper,-0.0500946044921875
99,welder,-0.05003154277801514
15,optometrist,-0.049868226051330566
70,toolmaker,-0.04972994327545166
66,instructor,-0.048171401023864746
81,accountant,-0.04794442653656006
64,lumberjack,-0.04755896329879761
73,surgeon,-0.04735112190246582
75,jeweler,-0.045722126960754395
85,plumber,-0.044745445251464844
78,carpenter,-0.04453933238983154
6,operator,-0.044205427169799805
2,laborer,-0.04331016540527344
22,manager,-0.041638195514678955
43,chemist,-0.041297316551208496
31,dietitian,-0.039191603660583496
28,nutritionist,-0.039191603660583496
84,shoemaker,-0.038941144943237305
26,bailiff,-0.0365026593208313
35,economist,-0.036165595054626465
61,geologist,-0.03601670265197754
48,professor,-0.03579890727996826
39,conductor,-0.03522145748138428
23,statistician,-0.0345304012298584
27,dancer,-0.03361994028091431
0,physician,-0.032996416091918945
63,psychologist,-0.032619476318359375
62,setter,-0.031491756439208984
16,millwright,-0.02869701385498047
89,newsperson,-0.027977287769317627
4,cashier,-0.027687251567840576
13,photographer,-0.025873184204101562
87,cook,-0.025765061378479004
29,broker,-0.02459549903869629
21,smith,-0.021057844161987305
65,designer,-0.01988387107849121
67,pharmacist,-0.0193403959274292
34,entertainer,-0.01930820941925049
69,judge,-0.017351150512695312
68,plasterer,-0.013860583305358887
47,therapist,-0.013747692108154297
1,doctor,-0.013601064682006836
58,weaver,-0.010255694389343262
38,official,-0.010071277618408203
18,sales,-0.007511734962463379
93,dentist,-0.005986571311950684
45,secretary,-0.00541377067565918
94,police,-0.002686738967895508
33,clerk,-0.000981450080871582
72,librarian,0.002662062644958496
55,attendant,0.002863645553588867
46,clerical,0.0030777454376220703
19,upholsterer,0.011919021606445312
97,housekeeper,0.04158598184585571
40,nurse,0.12169218063354492
