languages,paths,trans
Arabic,wiki.ar.align.vec,Arabic.csv
Azerbaijani,wiki.az.align.vec,Azerbaijani.csv
Bengali,wiki.bn.align.vec,Bengali.csv
Bulgarian,wiki.bg.align.vec,Bulgarian.csv
Catalan,wiki.ca.align.vec,Catalan.csv
Chinese,wiki.zh.align.vec,Chinese.csv
Croatian,wiki.hr.align.vec,Croatian.csv
Czech,wiki.cs.align.vec,Czech.csv
Danish,wiki.da.align.vec,Danish.csv
Dutch,wiki.nl.align.vec,Dutch.csv
English,wiki.en.align.vec,English.csv
Estonian,wiki.eo.align.vec,Esperanto.csv
Finnish,wiki.fi.align.vec,Finnish.csv
French,wiki.fr.align.vec,French.csv
German,wiki.de.align.vec,German.csv
Greek,wiki.el.align.vec,Greek.csv
Hebrew,wiki.he.align.vec,Hebrew.csv
Hindi,wiki.hi.align.vec,Hindi.csv
Hungarian,wiki.hu.align.vec,Hungarian.csv
Indonesian,wiki.id.align.vec,Indonesian.csv
Italian,wiki.it.align.vec,Italian.csv
Japanese,wiki.ja.align.vec,Japanese.csv
Latvian,wiki.lv.align.vec,Latvian.csv
Lithuanian,wiki.lt.align.vec,Lithuanian.csv
Norwegian (Bokmål),wiki.no.align.vec,Norwegian (Bokmål).csv
Persian,wiki.fa.align.vec,Persian.csv
Polish,wiki.pl.align.vec,Polish.csv
Portuguese,wiki.pt.align.vec,Portuguese.csv
Romanian,wiki.ro.align.vec,Romanian.csv
Russian,wiki.ru.align.vec,Russian.csv
Serbian,wiki.sr.align.vec,Serbian.csv
Slovak,wiki.sk.align.vec,Slovak.csv
Slovenian,wiki.sl.align.vec,Slovenian.csv
Spanish,wiki.es.align.vec,Spanish.csv
Swedish,wiki.sv.align.vec,Swedish.csv
Thai,wiki.th.align.vec,Thai.csv
Turkish,wiki.tr.align.vec,Turkish.csv
Ukrainian,wiki.uk.align.vec,Ukrainian.csv
Urdu,wiki.ur.align.vec,Urdu.csv
