,Arabic,Azerbaijani,Bengali,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Japanese,Latvian,Lithuanian,Norwegian (Bokmål),Persian,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Urdu
Arabic,1.0,0.283737137,0.362851793,0.043817824000000005,0.259174947,-0.051725814,-0.366357069,0.087579789,0.10397440599999999,0.09205546699999999,0.18150735,0.080014027,0.007188989000000001,0.30077297399999997,0.133692225,0.17492424399999998,0.15686349300000002,0.442834981,-0.084952804,-0.068503189,0.200713013,0.09024390199999999,0.022557122000000002,-0.028580612999999998,0.071920758,0.338761331,0.061019624,0.338681396,0.11050580800000001,-0.088687226,0.04543834099999999,0.09671614199999999,0.13677609,0.27136427399999996,0.07948812599999999,0.113560784,0.001093737,0.176927191,0.33513760800000003
Azerbaijani,0.283737137,1.0,0.278710116,0.05039285599999999,0.093193922,0.17078277,0.095379296,0.094860099,0.26798695899999997,0.141592211,0.354970702,0.425873145,0.327481117,0.144682949,0.110291549,0.066806543,-0.082773656,0.212278107,0.118975026,0.33317688,0.246556556,0.379718714,0.25985138,0.177104585,0.223357892,0.171415,0.085637191,0.30905848399999997,0.183333439,0.20997729999999998,0.286122102,0.305904826,0.22536529600000002,0.19357380100000002,0.30126916800000003,0.205453468,0.280599695,0.26123507100000004,0.224675994
Bengali,0.362851793,0.278710116,1.0,-0.041075365,0.14675049,0.112659756,-0.42490118600000004,0.171247454,0.034943284,0.113593427,0.145732845,0.131617239,0.031545691,0.192010383,0.075026026,0.117019229,0.222273214,0.336908618,0.25378579100000004,0.298418081,0.324248191,0.24340467899999998,0.125410302,0.048765978,0.061744379,0.35163909200000004,0.01928124,0.422484484,0.04154185,0.08357907,0.165473146,0.084386783,0.225857024,0.354756239,-0.039051627,0.038961038999999996,0.177171205,0.11441568199999999,0.152958153
Bulgarian,0.043817824000000005,0.05039285599999999,-0.041075365,1.0,0.478833877,0.283745837,0.141180999,0.527859599,0.49474607,0.431581001,0.37199204700000005,0.308821956,0.475920511,0.24564909399999998,0.478729009,0.411078166,0.281123138,0.227873,0.364515456,0.35854931799999995,0.416815514,0.44652607899999996,0.447099342,0.607153078,0.506947928,0.053208056,0.305995718,0.313744685,0.483012793,0.500076188,0.226506542,0.579083793,0.193078623,0.243597553,0.481620356,0.420983995,0.031653181,0.613640506,0.268437353
Catalan,0.259174947,0.093193922,0.14675049,0.478833877,1.0,0.18493761399999997,0.316849817,0.422549484,0.33491245199999997,0.333883623,0.323221166,0.203978777,0.302025836,0.23489076600000003,0.460724001,0.225833691,0.355433519,0.326110187,0.243347733,0.30864079699999997,0.535876252,0.369744566,0.28922785300000003,0.532292358,0.40362722100000004,-0.047821057,0.034705712,0.531511224,0.37251396299999995,0.172537792,0.130607335,0.40425243899999996,0.35017389299999996,0.474457976,0.391172817,0.514766095,0.008310114,0.42736196600000004,0.25867735399999997
Chinese,-0.051725814,0.17078277,0.112659756,0.283745837,0.18493761399999997,1.0,0.075384615,0.132069036,0.48655954799999995,0.200511049,0.492147026,0.503121977,0.432137668,0.27192195,0.23353983899999997,0.346641187,0.14599694,0.194781053,0.574213244,0.555063085,0.263688614,0.49806391299999997,0.432877513,0.45498311700000005,0.547980156,0.236952639,0.06892100400000001,0.23427384899999998,0.279837144,0.266583205,0.01766302,0.371528725,0.168415007,0.172252099,0.436739041,0.507960826,0.243755725,0.27401674,0.242747534
Croatian,-0.366357069,0.095379296,-0.42490118600000004,0.141180999,0.316849817,0.075384615,1.0,0.18,0.44200244200000005,-0.019148573000000002,0.231990232,0.23076923100000002,0.446837607,-0.208116949,-0.122051282,-0.086555108,-0.12076923099999999,-0.263404999,0.126837607,0.227996115,-0.007863248,0.2783738,-0.053076923,0.022905982999999998,0.20957265,-0.407826087,-0.263125763,0.0034622040000000004,-0.036153846,-0.020388536999999998,0.027826087000000003,0.196923077,0.042307692,-0.098000306,0.38324786299999997,0.626373626,0.026956522000000004,-0.152846643,-0.033314512000000004
Czech,0.087579789,0.094860099,0.171247454,0.527859599,0.422549484,0.132069036,0.18,1.0,0.238942176,0.399803265,0.33674217700000003,0.22686115,0.343092169,0.241454008,0.40358183799999997,0.26520176300000003,0.35533497700000005,0.32445845,0.37783433,0.297609162,0.398326509,0.393927742,0.38793352200000003,0.474876361,0.132790603,0.05870054,0.36407563200000004,0.445609285,0.461294925,0.57453451,0.18679359199999998,0.587864768,0.24808256199999998,0.391626176,0.304105815,0.397329978,0.126842509,0.555401649,0.205268177
Danish,0.10397440599999999,0.26798695899999997,0.034943284,0.49474607,0.33491245199999997,0.48655954799999995,0.44200244200000005,0.238942176,1.0,0.372699819,0.615149316,0.388272602,0.62617687,0.298816702,0.257390435,0.290941169,0.239490352,0.158759666,0.36781246,0.48473470399999996,0.369959826,0.626736999,0.574278728,0.425055358,0.670399314,0.04998449,0.082052971,0.38555627200000003,0.443372155,0.366696753,0.083268864,0.36177001,0.13743093,0.30045099,0.542561339,0.624607159,0.192663728,0.438505769,0.323740619
Dutch,0.09205546699999999,0.141592211,0.113593427,0.431581001,0.333883623,0.200511049,-0.019148573000000002,0.399803265,0.372699819,1.0,0.49665285299999995,0.34566079299999997,0.447266514,0.409555021,0.404236748,0.27703898,0.33244066899999997,0.17470645199999998,0.33161497300000004,0.226355618,0.323267916,0.419622671,0.381902305,0.409084954,0.393052726,0.084990755,0.30444714300000003,0.45135816700000003,0.402419983,0.398111196,0.260601725,0.437211973,0.18170170600000002,0.413761339,0.351627487,0.560477373,0.232276289,0.555556974,0.281458742
English,0.18150735,0.354970702,0.145732845,0.37199204700000005,0.323221166,0.492147026,0.231990232,0.33674217700000003,0.615149316,0.49665285299999995,1.0,0.625136817,0.71013235,0.432807124,0.170052172,0.407861889,0.167425361,0.384958068,0.5558666179999999,0.512368301,0.403249691,0.62916142,0.536942955,0.425802303,0.602945615,0.403835029,0.24644272399999997,0.47268998700000003,0.38325151399999996,0.41008955399999997,0.186057993,0.45759133399999996,0.26361786800000003,0.338710579,0.528814793,0.69811403,0.32408598,0.442156621,0.370942861
Estonian,0.080014027,0.425873145,0.131617239,0.308821956,0.203978777,0.503121977,0.23076923100000002,0.22686115,0.388272602,0.34566079299999997,0.625136817,1.0,0.520250145,0.444798175,0.14409235199999998,0.382085445,0.123161985,0.24856388,0.540305306,0.5589061120000001,0.33056204899999997,0.539311169,0.399993925,0.309129349,0.460825338,0.427188681,0.23592508199999998,0.395527248,0.226590435,0.445939476,0.29659086100000004,0.462156534,0.183292333,0.221399342,0.317185349,0.612075511,0.32002351,0.45208272200000005,0.35468804
Finnish,0.007188989000000001,0.327481117,0.031545691,0.475920511,0.302025836,0.432137668,0.446837607,0.343092169,0.62617687,0.447266514,0.71013235,0.520250145,1.0,0.387232729,0.2163089,0.390987872,0.11925987800000001,0.06339511,0.569293311,0.342382966,0.42763009,0.6712422020000001,0.578308984,0.36916248,0.551414293,0.283239853,0.25187166899999996,0.355450944,0.473116149,0.486327238,0.07868369900000001,0.393412555,0.083182591,0.272849768,0.5689378620000001,0.742436325,0.390680101,0.416871767,0.40922574799999994
French,0.30077297399999997,0.144682949,0.192010383,0.24564909399999998,0.23489076600000003,0.27192195,-0.208116949,0.241454008,0.298816702,0.409555021,0.432807124,0.444798175,0.387232729,1.0,0.21077933,0.34872322299999997,0.26902024199999997,0.34603396,0.38055863799999995,0.28742816600000004,0.403365562,0.37364139700000004,0.21322456399999998,0.253924085,0.269463952,0.266987326,0.352478613,0.489714964,0.253443694,0.36060850899999997,0.345245675,0.37615523100000003,0.07418554200000001,0.386634727,0.134060284,0.485856542,0.25219333,0.35045238799999995,0.200330194
German,0.133692225,0.110291549,0.075026026,0.478729009,0.460724001,0.23353983899999997,-0.122051282,0.40358183799999997,0.257390435,0.404236748,0.170052172,0.14409235199999998,0.2163089,0.21077933,1.0,0.31152939,0.238199441,0.08620984,0.07634629,0.179953306,0.308598687,0.23566543899999998,0.288836991,0.555379594,0.35285209100000003,0.005868740999999999,0.08849595,0.384238346,0.33489162,0.217741821,0.033955072999999995,0.411440519,0.252472803,0.408539185,0.401618341,0.138772205,-0.091927251,0.424096673,0.15805094
Greek,0.17492424399999998,0.066806543,0.117019229,0.411078166,0.225833691,0.346641187,-0.086555108,0.26520176300000003,0.290941169,0.27703898,0.407861889,0.382085445,0.390987872,0.34872322299999997,0.31152939,1.0,0.20481235899999997,0.20216663,0.39784631,0.198193454,0.100775876,0.37312871700000005,0.338974934,0.37542810299999996,0.38771216399999997,0.348469232,0.267542874,0.350394831,0.460153549,0.336870691,0.166561713,0.332159068,0.149128003,0.22306404100000002,0.408152664,0.32002226899999997,0.132459879,0.44381297299999994,0.23553439
