,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bulgarian,Catalan,Cebuano,Chinese,Croatian,Czech,Danish,Dutch,English,Esperanto,Estonian,Finnish,French,Galician,Georgian,German,Greek,Gujarati,Haitian,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kirghiz,Kurdish (Kurmanji),Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Marathi,Mongolian,Nepali,Norwegian (Bokmål),Pashto,Persian,Polish,Portuguese,Romanian,Russian,Scottish Gaelic,Serbian,Sindhi,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Welsh,Yiddish,Yoruba
Afrikaans,1,0.235762137,0.273332241,0.083042375,0.167116166,0.133140325,-0.014643955,0.365308866,-0.012475067,0.375627117,0.338063357,-0.140385496,0.2602118,0.061050061,0.261251869,0.399308807,0.368202422,0.402968304,0.374945646,0.26755609,0.41190691,0.135580799,0.283220191,0.012384356,0.383293995,0.249884828,0.146347362,0.10840742,0.163752548,0.169379009,0.21271216,0.181618447,0.056119632,0.197398897,0.34423355,0.030329072,-0.021422175,0.085692878,0.37251015,0.081136244,-0.060555129,-0.104433961,0.454628073,0.357997028,0.26864581,0.177456261,-0.072020365,0.367523402,0.092750075,0.108146282,0.214528491,-0.207845782,0.045328012,0.530081834,0.138015008,-0.126402886,0.013436001,0.28357012,0.442551807,0.20750648,0.062599011,-0.088221867,0.039323208,0.275235001,0.072710099,-0.078180416,0.214911385,-0.052820522,0.131977666,0.427549951,0.108916964,0.064251604,-0.130689663,0.435011024,0.099256293,0.419746331,0.382637449,0.060339726,0.316048602,-0.057468804,0.357432184
Albanian,0.235762137,1,0.266245356,0.198858655,0.254672109,0.240231616,0.027807209,0.365382395,0.085827815,0.317019412,0.455232595,-0.222939588,0.239073803,-0.130769231,0.276584803,0.310635117,0.146942415,0.376445281,0.277690262,0.301648253,0.184327841,0.31617443,0.315071505,0.124642506,0.230485342,0.270782426,0.333731864,0.192101382,0.235972263,0.297169084,0.25049106,0.307470333,0.19170182,0.275356843,0.266277043,-0.077387998,0.275181724,0.324648814,0.126103786,0.316396602,0.082096025,0.303830647,0.243311668,0.456613509,0.18011586,0.324466558,0.023859935,0.057558267,0.337200168,0.043561116,0.327432331,-0.052730398,0.108534234,0.332356291,0.078439673,0.083752445,0.158406318,0.297395808,0.324829603,0.325841534,0.04645813,0.257346133,0.257157017,0.368435708,0.299131063,-0.038210308,0.270735104,-0.069229743,0.225312317,0.303249133,0.249966677,0.091638197,0.05152755,0.345242655,0.029619992,0.489731059,0.200657895,-0.068183119,0.226801278,-0.034251425,0.163304421
Amharic,0.273332241,0.266245356,1,0.084459643,0.149913363,0.226457154,0.128462662,0.146926733,0.080254424,-0.015552911,0.199391369,-0.01541106,0.221832846,0.103508772,-0.011320425,0.218506341,0.027046114,0.443585809,0.159624521,0.278268281,0.220990554,0.105481194,0.195567941,0.039082355,0.121136232,0.301242474,0.246670153,0.202251349,0.031995968,0.214685468,0.102874559,0.085008664,0.110394323,0.120518339,0.204369657,-0.090273158,0.248496048,0.084162326,0.096209032,0.020649863,0.138135175,0.103817165,0.155841602,0.138663846,0.068511437,0.170304264,0.273414044,0.173141784,0.116304106,0.28362611,0.179034387,0.180399607,0.395133038,0.303649235,0.105412282,0.13361793,-0.16984677,0.289236326,0.046098059,0.010005151,0.083983877,0.160490992,0.211344621,-0.007040399,0.13581133,0.220210172,0.187144493,0.182612679,0.074785302,0.199177487,0.106346913,0.190428191,0.240283012,0.147177419,0.251705537,0.237095153,0.065072882,-0.024255589,0.19236447,-0.19720897,0.315086782
Arabic,0.083042375,0.198858655,0.084459643,1,0.143106159,0.283737137,0.080734924,0.029071934,0.362851793,0.043817824,0.259174947,-0.27163515,-0.051725814,-0.366357069,0.087579789,0.103974406,0.092055467,0.18150735,0.20404327,0.080014027,0.007188989,0.300772974,0.204243257,0.11563766,0.133692225,0.174924244,0.102956031,-0.13441352,0.156863493,0.442834981,-0.084952804,0.180640795,-0.068503189,0.200713013,0.090243902,-0.089740031,0.163404358,0.161513763,0.097646292,0.042610711,0.070179598,0.257739182,0.022557122,-0.028580613,0.03966579,0.220684234,-0.070054667,0.140068713,0.279734836,0.127356112,0.237198613,0.166540007,0.191210058,0.071920758,0.544211168,0.338761331,0.061019624,0.338681396,0.110505808,-0.088687226,0.276059954,0.045438341,0.097308128,0.096716142,0.13677609,0.431012747,0.271364274,0.035101322,0.067008219,0.079488126,0.189944359,0.138054684,0.307719782,0.113560784,0.001093737,0.176927191,0.335137608,0.067871868,0.308258249,-0.120162061,0.227736107
Armenian,0.167116166,0.254672109,0.149913363,0.143106159,1,0.357070887,0.087030199,0.2112875,0.115974885,0.14100128,0.182755219,-0.182625591,0.340018293,0.26984127,0.180177086,0.239073439,0.041014475,0.350215299,0.182317367,0.379542182,0.303516022,0.23508378,0.119919545,0.296240736,0.065323252,0.140517499,0.034892331,-0.170497552,0.156621589,0.158830642,0.24298835,0.211977919,0.444404534,0.022600312,0.39230241,-0.036364775,0.228213504,0.400284563,0.132991913,0.262017589,0.00735944,0.077120045,0.237620967,0.249586355,0.120344692,0.196586259,0.182361086,0.016168434,0.434053437,0.111842105,0.069036162,0.139764618,0.028099279,0.202762549,0.058771255,0.101758392,0.107090415,0.328955097,0.051100928,0.097942391,-0.026052029,0.098847549,-0.026349052,0.259271579,0.242245841,0.004626283,0.079200977,0.244496855,0.054619407,0.27270367,0.274868573,0.355266266,0.139996982,0.437397383,0.148402977,0.207131881,0.158479906,0.260192898,0.140450936,0.093743624,0.115927419
Azerbaijani,0.133140325,0.240231616,0.226457154,0.283737137,0.357070887,1,-0.002900339,0.240193532,0.278710116,0.050392856,0.093193922,-0.144478117,0.17078277,0.095379296,0.094860099,0.267986959,0.141592211,0.354970702,0.123018203,0.425873145,0.327481117,0.144682949,0.194308951,0.336513667,0.110291549,0.066806543,0.196143479,-0.143552935,-0.082773656,0.212278107,0.118975026,0.24270953,0.33317688,0.246556556,0.379718714,-0.113339334,0.355417003,0.30284348,0.223540964,0.185403322,0.152767094,-0.037943373,0.25985138,0.177104585,0.045151068,0.280421639,0.174193715,-0.017002935,0.263740039,0.00175601,0.228353077,0.185437969,-0.08525009,0.223357892,0.331003486,0.171415,0.085637191,0.309058484,0.183333439,0.2099773,-0.132004617,0.286122102,-0.003075977,0.305904826,0.225365296,0.222288568,0.193573801,0.156951698,-0.131991499,0.301269168,0.199328554,0.23600898,0.214807034,0.205453468,0.280599695,0.261235071,0.224675994,0.140562329,0.306805994,-0.1448945,0.127434498
Basque,-0.014643955,0.027807209,0.128462662,0.080734924,0.087030199,-0.002900339,1,0.30894715,0.100051534,0.179744513,0.118628175,0.203812679,-0.010853639,0.42,0.14750672,0.260825112,0.127511193,0.256437605,0.20160602,0.126657619,0.153261016,0.181016569,0.139560359,0.090460436,0.013031602,-0.025422949,0.174100496,0.083749476,0.210806433,0.171332587,0.104078677,0.175122337,0.279605618,0.186336189,0.364431722,-0.153233584,0.044798568,0.071178256,0.140943143,-0.014570685,0.064299263,0.009481354,0.200927467,0.212077874,0.092965318,0.089980724,-0.135833695,-0.069292972,-0.025989208,0.288438214,0.100731989,0.27612939,0.23594462,0.166359338,0.174197344,0.169982372,0.174481872,0.155842329,0.155241122,0.242145805,0.153450518,0.133058094,-0.184664811,0.250580134,0.058889641,-0.019205835,0.151518471,0.171279964,0.132314938,0.113974817,0.214718698,0.080726476,0.100510569,0.293551979,0.309728681,0.198745027,0.253807994,0.05272002,0.092984509,-0.019091186,-0.082702979
Belarusian,0.365308866,0.365382395,0.146926733,0.029071934,0.2112875,0.240193532,0.30894715,1,0.162244124,0.482083215,0.327759064,-0.039202082,0.360633709,0.109589044,0.483841724,0.433487264,0.396676901,0.506841239,0.325910219,0.487249256,0.457134345,0.288232564,0.421827159,0.214311388,0.268392962,0.37301298,0.422309105,0.243469242,0.327495286,0.438347881,0.481516752,0.311475482,0.295672212,0.338158891,0.469629151,-0.207154459,0.254285267,0.140180109,0.423494606,0.168690901,0.174898613,0.100201399,0.503571483,0.518829005,0.266910979,0.422472591,-0.002307212,-0.011925696,0.292935567,0.268113559,0.149934208,0.138032638,0.07724279,0.459837332,0.009382049,0.116843238,0.401828065,0.318416233,0.423246044,0.561578649,0.153354544,0.303416131,0.013190517,0.520317543,0.267395017,0.070544698,0.211751403,-0.100285407,0.102641069,0.353832469,0.106975744,0.265528275,0.211829805,0.507883962,0.238876277,0.677605289,0.384040629,0.060682251,0.373243316,-0.008400941,0.018875134
Bengali,-0.012475067,0.085827815,0.080254424,0.362851793,0.115974885,0.278710116,0.100051534,0.162244124,1,-0.041075365,0.14675049,-0.278340491,0.112659756,-0.424901186,0.171247454,0.034943284,0.113593427,0.145732845,0.015362004,0.131617239,0.031545691,0.192010383,0.258139722,0.271634484,0.075026026,0.117019229,0.271601382,0.106319631,0.222273214,0.336908618,0.253785791,0.203604849,0.298418081,0.324248191,0.243404679,-0.350492672,0.287543706,0.206117356,0.085400405,0.153316316,0.14820517,0.01074029,0.125410302,0.048765978,0.243715716,0.244712268,0.077335551,-0.129943958,0.453505183,0.343201146,0.384542454,0.214091322,0.142362305,0.061744379,0.458979022,0.351639092,0.01928124,0.422484484,0.04154185,0.08357907,0.178806937,0.165473146,0.045451742,0.084386783,0.225857024,0.075412492,0.354756239,0.104316652,-0.014305925,-0.039051627,0.226155044,0.197565856,0.372651725,0.038961039,0.177171205,0.114415682,0.152958153,0.41309519,0.216484251,-0.013546748,-0.21186159
Bulgarian,0.375627117,0.317019412,-0.015552911,0.043817824,0.14100128,0.050392856,0.179744513,0.482083215,-0.041075365,1,0.478833877,-0.16523372,0.283745837,0.141180999,0.527859599,0.49474607,0.431581001,0.371992047,0.437265861,0.308821956,0.475920511,0.245649094,0.293907253,-0.024380772,0.478729009,0.411078166,0.218518135,0.011962745,0.281123138,0.227873,0.364515456,0.325685226,0.358549318,0.416815514,0.446526079,-0.108717277,-0.07947538,0.243143139,0.439086349,0.053685401,0.126317912,0.216202762,0.447099342,0.607153078,0.408963372,0.302772688,0.058497788,0.385985015,-0.028261644,0.105021601,-0.058324383,0.132624403,-0.009677419,0.506947928,-0.05362941,0.053208056,0.305995718,0.313744685,0.483012793,0.500076188,0.007641763,0.226506542,0.024240933,0.579083793,0.193078623,0.000185042,0.243597553,-0.180040323,0.362193691,0.481620356,0.165889671,0.204537981,-0.110552174,0.420983995,0.031653181,0.613640506,0.268437353,-0.134171332,0.246404797,-0.272316777,-0.008475764
