cate,Swedish,Arabic,Norwegian (Bokmål),Romanian,German,Indonesian,French,Russian,Italian,Greek,Finnish,Spanish,Chinese,Polish,English,Czech,Hungarian,Thai,Dutch,Catalan,Mean,Medium,,
1 existence,-0.008085967,0.008539151,-0.048338726,0.001423146,0.3027458,-0.007631089,-0.041357122,0.011596805,-0.021318581,0.006163789,-0.056312043,-0.010238376,0.08165233,0.010349672,-0.010553766,0.000747612,-0.026641991,-0.024452984,-0.021668468,-0.0421292,0.0052245,-0.009162172,,
2 inexistence,-0.00147486,0.011417901,-0.039875712,-0.002821036,0.29890135,-0.00929124,-0.038773295,0.00961369,-0.023435798,-0.000117309,-0.056673836,-0.004839458,0.07181979,0.019558355,0.004722565,0.012297162,-0.019133968,-0.015200302,-0.023139931,-0.030668313,0.008144288,-0.003830247,,
3 substantiality,0.00303218,-0.001594393,-0.052804995,-0.02212005,0.33418015,-0.029260723,-0.06901864,-0.022198122,-0.045285285,0.001323358,-0.07241008,-0.03304554,0.06344018,0.003480735,-0.020239022,-0.020169172,-0.018558359,-0.020813942,-0.040533997,-0.06060637,-0.006160104,-0.021466996,,
4 unsubstantiality,-0.013665974,0.005605236,-0.052652285,-0.013456038,0.31306726,-0.016501725,-0.05718748,0.000891096,-0.03222011,-0.000677342,-0.06935331,-0.013760857,0.0594087,0.00972581,-0.017900014,-0.00119892,-0.018065939,-0.018707061,-0.034761842,-0.05069698,-0.001105389,-0.015131291,,
5 intrinsicality,-0.008479588,-0.012701838,-0.04993421,-0.003770871,0.30479032,-0.01982386,-0.04162558,-0.00166761,-0.037807427,0.000574268,-0.06757751,-0.023055594,0.05366204,0.007013908,-0.0199179,0.003016027,-0.028929505,-0.021965353,-0.033077832,-0.048136916,-0.002470752,-0.01987088,,
6 extrinsicality,-0.042777427,-0.010138234,-0.06690738,-0.028771013,0.29431966,-0.03951081,-0.06995677,-0.027100595,-0.056118447,-0.037515283,-0.103914656,-0.041445646,0.060628995,-0.009652059,-0.017659442,-0.00417688,-0.048391618,-0.009084423,-0.049734026,-0.06643175,-0.01871689,-0.038513047,,
7 absolute/state,-0.018458769,-0.009037499,-0.06062691,-0.011591833,0.26945892,-0.04169079,-0.049598057,-0.003911067,-0.058161914,-0.01139183,-0.07685336,-0.0365402,0.05378631,-0.000651125,-0.02880293,-0.017439418,-0.04019789,-0.031555634,-0.0417729,-0.07040641,-0.014272165,-0.030179282,,
8 relative/circumstance,-0.018888092,-0.007300068,-0.050732832,-0.005782679,0.30818102,-0.024457444,-0.05839519,-0.00853537,-0.052741405,-0.014887832,-0.0687677,-0.031840008,0.059159476,0.000132537,-0.016042477,-0.006849464,-0.034539673,-0.019352978,-0.04211308,-0.05624431,-0.007499878,-0.019120535,,
9 relation,0.00190078,-0.001600905,-0.039334577,0.019849816,0.28352442,-0.02975244,-0.055199575,0.007155089,-0.035197847,0.012158359,-0.07121074,-0.029844949,0.084672146,0.01888281,-0.020876812,-0.001733211,-0.034079753,-0.024412122,-0.022088438,-0.052833878,0.000498909,-0.021482625,,
10 irrelation,-0.018784223,-0.017759496,-0.055322524,-0.006885694,0.3015184,-0.027148033,-0.0636901,-0.007371135,-0.03805531,-0.002797951,-0.074945465,-0.027955046,0.07213172,0.00770349,-0.02138995,-0.012596548,-0.030429078,-0.024382193,-0.03730336,-0.05452421,-0.006999335,-0.022886072,,
11 consanguinity,0.08202258,0.038207803,0.044163,0.06868037,0.26806927,0.050145797,0.06401169,0.053194087,0.0634659,0.071444705,0.01592951,0.07155272,0.13033868,0.07838222,0.061529618,0.06205234,0.025945622,0.017005341,0.044353116,0.051254008,0.068087419,0.061790979,,
12 correlation,-0.003591874,8.89E-05,-0.046696313,0.023265574,0.27972776,-0.034073398,-0.049358457,0.004941587,-0.050374188,-0.000782884,-0.07977815,-0.035202477,0.04603013,0.022284523,-0.028862616,0.010432002,-0.021962976,-0.041834682,-0.012230835,-0.048222747,-0.003310056,-0.017096906,,
13 identity,6.43E-05,0.007904124,-0.050454717,0.004491856,0.30097446,-0.005823972,-0.055185683,0.007551708,-0.044852387,0.021831408,-0.072467685,-0.012144349,0.0576541,0.023438523,-0.02360336,0.015928525,-0.022360712,-0.039059304,-0.022745581,-0.0466645,0.002223838,-0.008984161,,
14 contrariety,0.009575546,0.001509293,-0.04451151,0.03813528,0.3230092,-0.013309472,-0.04401965,0.020080822,-0.020090241,0.010371804,-0.074603945,-0.009907776,0.09647809,0.02058719,0.002627489,0.025732588,-0.02364061,-0.040919375,-0.015736682,-0.036133304,0.011261737,-0.004199242,,
15 difference,-0.014813621,0.009687208,-0.054144505,0.017896624,0.27638477,-0.03767238,-0.054963175,-0.003514795,-0.047652163,0.012855111,-0.057346497,-0.030137977,0.04197839,0.013785909,-0.030734062,-0.01351574,-0.02129154,-0.055194505,-0.021231033,-0.055678047,-0.006265101,-0.021261287,,
16 uniformity,-0.01932789,-0.01759983,-0.05899851,0.009560658,0.29217085,-0.024756167,-0.06425025,0.006096819,-0.053757012,-0.001742659,-0.06537731,-0.04007329,0.032782678,0.007382008,-0.026765438,0.004532221,-0.027569164,-0.026452832,-0.026993537,-0.06467561,-0.008290713,-0.0256045,,
17 non-uniformity,-0.02401121,0.008183452,-0.062316556,0.02667147,0.2340343,-0.028195845,-0.06151468,-0.007230548,-0.06499748,0.003727214,-0.07078767,-0.031846143,0.051378876,0.026780615,-0.03463924,-0.019098502,-0.025323523,-0.020840168,-0.038552124,-0.072397284,-0.010548752,-0.024667367,,
18 similarity,0.006421721,0.010717579,-0.032081507,0.012748103,0.28326404,-0.004003025,-0.032799613,0.013749729,-0.01589903,0.023536017,-0.052421734,-0.004890365,0.09474482,0.030197728,-0.004880058,0.011770329,-0.026054818,-0.012393522,-0.019741649,-0.03806638,0.012195918,-0.004441542,,
