languages,paths,trans,,,,,trans,,
Arabic,cc.ar.300.vec,Arabic.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.ar.300.vec.gz,cc.ar.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Azerbaijani,cc.az.300.vec,Azerbaijani.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.az.300.vec.gz,cc.az.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Bengali,cc.bn.300.vec,Bengali.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.bn.300.vec.gz,cc.bn.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Bulgarian,cc.bg.300.vec,Bulgarian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.bg.300.vec.gz,cc.bg.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Catalan,cc.ca.300.vec,Catalan.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.ca.300.vec.gz,cc.ca.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Chinese,cc.zh.300.vec,Chinese.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.zh.300.vec.gz,cc.zh.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Croatian,cc.hr.300.vec,Croatian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.hr.300.vec.gz,cc.hr.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Czech,cc.cs.300.vec,Czech.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.cs.300.vec.gz,cc.cs.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Danish,cc.da.300.vec,Danish.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.da.300.vec.gz,cc.da.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Dutch,cc.nl.300.vec,Dutch.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.nl.300.vec.gz,cc.nl.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
English,cc.en.300.vec,English.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.en.300.vec.gz,cc.en.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
