beroep,manlik,vroulike
dokter,hy,sy
dokter,seun,dogter
arbeider,sy,hare
natuurbewaarder,hom,haar
kassier,pa,moeder
eienaar,man,vrou
operateur,seuntjie,meisie
barman,self,haarself
werktuigkundige,manlik,vroulike
landmeter,broer,suster
fisikus,seuns,dogters
masjinis,vaders,moeders
argitek,mans,vroue
fotograaf,seuns,meisies
onderwyser,mans,wyfies
oogkundige,broers,susters
millwright,oom,tante
tradesperson,ooms,tannies
verkope,neef,niggie
stoffeerder,neefs,niggies
Baker,,
Smith,,
bestuurder,,
statistikus,,
deurwagter,,
atleet,,
balju,,
danser,,
voedingkundige,,
makelaar,,
Setwerk,,
dieetkundige,,
skrywer,,
klerk,,
verhoogkunstenaar,,
ekonoom,,
ketelmaker,,
skrynwerker,,
amptelik,,
dirigent,,
verpleegster,,
Porter,,
boekbinder,,
chemikus,,
inspekteur,,
sekretaris,,
klerklike,,
terapeut,,
professor,,
tegnikus,,
verkoopspersoon,,
prokureur,,
boer,,
veearts,,
elektrisiën,,
gepaardgaande,,
opsigter,,
matroos,,
wewer,,
musikant,,
waitstaff,,
geoloog,,
setter,,
sielkundige,,
houtkapper,,
ontwerper,,
instrukteur,,
apteker,,
pleisteraar,,
regter,,
gereedskapmakersknoppie,,
balju,,
bibliotekaris,,
chirurg,,
wetenskaplike,,
juwelier,,
letterzetter,,
ingenieur,,
timmerman,,
kunstenaar,,
soldaat,,
rekenmeester,,
geestelikes,,
skilder,,
skoenmaker,,
loodgieter,,
Mason,,
kok,,
rapporteur,,
newsperson,,
vlieënier,,
chiropraktisyn,,
administrateur,,
tandarts,,
polisie,,
tuinier,,
bestuurder,,
huishoudster,,
wag,,
sweismasjien,,
