զբաղմունք,արական,իգական
բժիշկ,նա,նա
բժիշկ,որդի,դուստր
բանվոր,նրա,նրա
պահպանողական,նրան,նրա
գանձապահ,հայր,մայր
սեփականատեր,մարդ,կին
օպերատոր,տղա,աղջիկ
բուֆետ,ինքը,ինքն իրեն
մեխանիկական,արական,իգական
գեներատոր,եղբայր,քույր
ֆիզիկոս,որդիներ,դուստրեր
մեքենավար,հայրերը,մայրեր
ճարտարապետ,տղամարդիկ,կանայք
լուսանկարիչ,տղաներ,աղջիկները
ուսուցիչ,տղամարդիկ,իգական
optometrist,եղբայրներ,քույրեր
ջրաղաց,հորեղբայր,մորաքույր
վաճառող,հորեղբայրներ,մորաքույրներ
վաճառք,զարմիկ,զարմուհի
պաստառագործ,զարմիկներ,զարմիկներ
հացաթուխ,,
սմիթ,,
մենեջեր,,
վիճակագիր,,
դռնապան,,
մարզիկ,,
կարգադրիչ,,
պարուհի,,
սննդաբան,,
բրոքեր,,
տպիչ,,
դիետոլոգ,,
հեղինակ,,
սպասավոր,,
զվարճացող,,
տնտեսագետ,,
կաթսա,,
կաբինետ,,
պաշտոնական,,
դիրիժոր,,
բուժքույր,,
դռնապան,,
գրքույկ,,
քիմիկոս,,
տեսուչ,,
քարտուղար,,
հոգևորական,,
թերապևտ,,
պրոֆեսոր,,
տեխնիկ,,
վաճառող,,
իրավաբան,,
ֆերմեր,,
անասնաբույժ,,
էլեկտրիկ,,
սպասավոր,,
պահապան,,
նավաստին,,
հյուսել,,
երաժիշտ,,
սպասք,,
երկրաբան,,
դահիճ,,
հոգեբան,,
փայտանյութ,,
դիզայներ,,
հրահանգիչ,,
դեղագործ,,
պլաստեր,,
դատավոր,,
գործիքագործ,,
շերիֆ,,
գրադարանավար,,
վիրաբույժ,,
գիտնական,,
ոսկերիչ,,
կոմպոզիտոր,,
ինժեներ,,
ատաղձագործ,,
նկարիչ,,
զինվորի,,
հաշվապահ,,
հոգևորական,,
Նկարիչ,,
կոշկակար,,
ջրմուղագործ,,
մասոն,,
եփել,,
գծագիր,,
թերթեր,,
օդաչու,,
քիրոպրակտոր,,
ադմինիստրատոր,,
ատամնաբույժ,,
ոստիկանություն,,
այգեպան,,
վարորդ,,
տնային տնտեսուհի,,
պահապան,,
զոդող,,
