акупацыя,мужчына,жаночы
урач,ён,яна
урач,сын,дачка
парабак,яго,яе
прыродаахоўнік,яго,яе
касір,бацька,маці
ўладальнік,чалавек,жанчына
аператар,хлопчык,дзяўчынка
бармен,самога сябе,сама
механізатар,мужчына,жаночы
геадэзіст,брат,сястра
фізік,сыны,дочкі
машыніст,бацькі,маці
архітэктар,мужчыны,жанчыны
фатограф,хлопчыкі,дзяўчаты
настаўнік,самцы,самкі
акуліст,браты,сястры
млынрайт,дзядзька,цётка
гандляр,дзядзькі,Цёткі
продажу,пляменнік,пляменніца
абіўка,пляменнікі,пляменнікі
пекар,,
каваль,,
менеджэр,,
статыстык,,
брамнік,,
спартсмен,,
судовы выканаўца,,
танцора,,
дыетолаг,,
брокер,,
наборшчык,,
дыетолаг,,
аўтар,,
пісар,,
забаўляльнік,,
эканаміст,,
кацельня,,
шафа,,
афіцыйная,,
праваднік,,
медсястра,,
насільшчык,,
пераплёт,,
хімік,,
інспектар,,
сакратар,,
клерыкальны,,
тэрапеўт,,
прафесар,,
тэхнік,,
прадавец,,
юрыст,,
селянін,,
ветэрынар,,
электрык,,
дзяжурны,,
дворнік,,
матрос,,
ткачыха,,
музыка,,
афіцыянт,,
геолаг,,
сетэр,,
псіхолаг,,
лесаруб,,
дызайнер,,
інструктар,,
аптэкар,,
тынкоўшчык,,
судзіць,,
выраб інструментаў,,
шэрыф,,
бібліятэкар,,
хірурга,,
вучоны,,
ювелір,,
кампазітар,,
інжынер,,
цясляр,,
мастак,,
салдат,,
бухгалтар,,
духавенства,,
мастак,,
шавец,,
сантэхнік,,
муляр,,
рыхтаваць,,
прызыўнік,,
газетны газет,,
пілот,,
мануальны тэрапеўт,,
адміністратар,,
стаматолаг,,
паліцыя,,
садоўнік,,
кіроўца,,
ключніца,,
ахоўнік,,
зваршчык,,
