পেশা,পুরুষ,মহিলা
চিকিত্সক,তিনি,সে
ডাক্তার,পুত্র,কন্যা
শ্রমিক,তার,তার
সংরক্ষণবাদী,তার,তার
কোষাধ্যক্ষ,পিতা,মা
মালিক,মানুষ,নারী
অপারেটর,ছেলে,মেয়ে
মদের দোকানের পরিবেষক,নিজে,নিজেকে
মিস্ত্রি,পুরুষ,মহিলা
পরিমাপক,ভাই,বোন
প্রকৃতিবিজ্ঞানী,ছেলেদের,কন্যা
যন্ত্রচালক,বাপ,মায়েরা
স্থপতি,পুরুষদের,নারী
ফটোগ্রাফার,ছেলেদের,মেয়েরা
শিক্ষক,পুরুষ,নারী
অপ্টোমেট্রিস্ট,ভাই,বোন
কারখানা নির্মাতা,চাচা,মাসি
tradesperson,মামারা,খালা
বিক্রয়,ভাইপো,ভাইঝি
ঘরদোর আসবাবপত্রে সজ্জিত,নাতি-নাতনী,ভাতিজা
রূটিত্তয়ালা,,
সেকরা,,
ব্যবস্থাপক,,
পরিসংখ্যানবিৎ,,
দরোয়ান,,
ক্রীড়াবিদ,,
সাধ্যপাল,,
নর্তকী,,
পুষ্টিবিজ্ঞানী,,
দালাল,,
ছাপাখানার অক্ষরস্থাপক,,
পথ্যব্যবস্থাবিদ্যাবিৎ,,
লেখক,,
করণিক,,
বিনোদনকারী,,
অর্থনীতিবিদ,,
boilermaker,,
আসবাবপত্র নির্মাতা ছুতারমিস্ত্রী,,
দাপ্তরিক,,
কন্ডাকটর,,
নার্স,,
কুলি,,
দপ্তরী,,
রসায়নবিৎ,,
পরিদর্শক,,
সম্পাদক,,
খ্রীষ্টীয় যাজকীয়,,
ভেষজবিজ্ঞানী,,
অধ্যাপক,,
যন্ত্রবিৎ,,
বিক্রেতা,,
আইনজীবী,,
কৃষক,,
গোবৈদ্য,,
তাড়িতী,,
চেড়,,
তত্ত্বাবধায়ক,,
নাবিক,,
পটকার,,
সুরকার,,
কর্মচারীর অপেক্ষা,,
ভূবিজ্ঞানী,,
গোয়েন্দা,,
মনস্তত্ত্বিক,,
করাতী,,
নকশাকার,,
উপাধ্যায়,,
কম্পউণ্ডার,,
plasterer,,
বিচারক,,
toolmaker,,
শেরিফ,,
গ্রন্থাগারিক,,
সার্জন,,
বিজ্ঞানী,,
জহুরি,,
কম্পোজিটর,,
প্রকৌশলী,,
কাঠমিস্ত্রি,,
শিল্পী,,
সৈনিক,,
হিসাবরক্ষক,,
পাদরীবর্গ,,
চিত্রশিল্পী,,
মুচি,,
সীসক,,
রাজমিস্ত্রি,,
রাঁধুনি,,
draftsperson,,
newsperson,,
বিমান - চালক,,
রোগ চিকিৎসা বিশেষ,,
প্রশাসক,,
দাঁতের,,
পুলিশ,,
মালী,,
চালক,,
বাড়ির সরকার,,
পাহারা,,
ঢালাইকর,,
