професия,мъжки пол,женски пол
лекар,той,тя
лекар,син,дъщеря
работник,му,неин
природозащитник,него,тя
касиер,баща,майка
собственик,мъж,жена
оператор,момче,момиче
барман,себе си,себе си
механик,мъжки пол,женски пол
инспектор,брат,сестра
физик,синове,дъщери
механик,бащи,майки
архитект,хора,Жени
фотограф,момчета,момичета
учител,мъже,женските
оптометрист,братя,сестри
машиностроител,чичо,леля
търговеца,чичовци,лели
търговски,племенник,племенница
тапицер,племенници,племеннички
пекар,,
ковач,,
мениджър,,
статистик,,
портиер,,
спортист,,
съдия-изпълнител,,
танцьор,,
диетолог,,
посредник,,
словослагател,,
диетолог,,
автор,,
чиновник,,
артист,,
икономист,,
boilermaker,,
дърводелец майстор на мебели,,
официален,,
проводник,,
медицинска сестра,,
хамалин,,
книговезец,,
химик,,
инспектор,,
секретар,,
чиновнически,,
терапевт,,
професор,,
техник,,
Продавач,,
юрист,,
земеделски производител,,
ветеринарен лекар,,
електротехник,,
участник,,
портиер,,
моряк,,
тъкач,,
музикант,,
сервитьорите,,
геолог,,
сетер,,
психолог,,
дървар,,
дизайнер,,
инструктор,,
фармацевт,,
мазач,,
съдия,,
инструментални,,
шериф,,
библиотекар,,
хирург,,
учен,,
бижутер,,
словослагател,,
инженер,,
дърводелец,,
художник,,
войник,,
касиер счетоводител,,
духовенство,,
художник,,
обущар,,
водопроводчик,,
зидар,,
готвач,,
докладчик,,
newsperson,,
пилот,,
хиропрактика,,
администратор,,
зъболекар,,
полиция,,
градинар,,
шофьор,,
икономка,,
охрана,,
заварчик,,
