beskæftigelse,han-,kvinde
læge,han,hun
læge,søn,datter
arbejdsmand,hans,Hendes
bevarende,Hej M,hende
kasserer,far,mor
indehaveren,mand,kvinde
operatør,dreng,pige
bartender,ham selv,hende selv
mekaniker,han-,kvinde
landmåler,bror,søster
fysiker,sønner,døtre
maskinist,fædre,mødre
arkitekt,Mænd,Kvinder
fotograf,drenge,piger
lærer,hanner,hunner
optometrist,brødre,søstre
møllebygger,onkel,tante
tradesperson,onkler,tanter
salg,nevø,niece
møbelpolstrer,nevøer,niecer
bager,,
smith,,
Manager,,
statistiker,,
dørvogter,,
atlet,,
foged,,
danser,,
ernæringsekspert,,
mægler,,
typograf,,
diætist,,
forfatter,,
ekspedient,,
entertainer,,
økonom,,
klejnsmed,,
snedker,,
officiel,,
leder,,
amme,,
porter,,
bogbinder,,
kemiker,,
inspektør,,
sekretær,,
kontorpersonale,,
terapeut,,
professor,,
tekniker,,
Sælger,,
jurist,,
landmand,,
dyrlæge,,
elektriker,,
ledsager,,
pedel,,
sømand,,
væver,,
musiker,,
Ventepersonalet,,
geolog,,
setter,,
psykolog,,
skovhugger,,
designer,,
instruktør,,
farmaceut,,
pudsebræt,,
dommer,,
værktøjsmager,,
sherif,,
bibliotekar,,
kirurg,,
videnskabsmand,,
guldsmed,,
typograf,,
ingeniør,,
tømrer,,
kunstner,,
soldat,,
revisor,,
gejstlighed,,
maler,,
skomager,,
blikkenslager,,
murer,,
laver mad,,
ordfører,,
newsperson,,
pilot,,
kiropraktor,,
administrator,,
tandlæge,,
politi,,
gartner,,
chauffør,,
husholderske,,
vagt,,
svejser,,
