okupatsioon,mees,naine
arst,ta,tema
arst,poeg,tütar
tööline,tema,tema oma
looduskaitsja,tema,tema
kassapidaja,isa,ema
omanik,mees,naine
operaator,poiss,tüdruk
baarmen,ise,ise
mehaanik,mees,naine
maamõõtja,vend,õde
füüsik,pojad,tütred
masinaehitaja,isad,emad
arhitekt,mehed,naised
fotograaf,poisid,tüdrukud
õpetaja,isased,emased
optometrist,vennad,õed
millitunnine,onu,tädi
kaupmees,onud,tädid
müük,vennapoeg,õetütar
polster,vennapojad,õetütred
pagar,,
sepp,,
juhataja,,
statistik,,
uksehoidja,,
sportlane,,
kohtutäitur,,
tantsija,,
toitumisspetsialist,,
maakler,,
masinakirjutaja,,
dietoloog,,
autor,,
köster,,
meelelahutaja,,
majandusteadlane,,
katlatootja,,
kappmeister,,
ametnik,,
dirigent,,
õde,,
porter,,
raamatuköitja,,
keemik,,
inspektor,,
sekretär,,
vaimulik,,
terapeut,,
professor,,
tehnik,,
müügimees,,
advokaat,,
põllumees,,
veterinaararst,,
elektrik,,
saatja,,
majahoidja,,
meremees,,
kuduja,,
muusik,,
ootel töötaja,,
geoloog,,
setter,,
psühholoog,,
saematerjal,,
kujundaja,,
juhendaja,,
apteeker,,
krohvija,,
kohtunik,,
tööriistatootja,,
šerif,,
raamatukoguhoidja,,
kirurg,,
teadlane,,
juveliir,,
helilooja,,
insener,,
puusepp,,
kunstnik,,
sõdur,,
raamatupidaja,,
vaimulikud,,
maalija,,
kingsepp,,
torumees,,
müürsepp,,
kokk,,
arvamuse koostaja,,
uudistemees,,
piloot,,
kiropraktik,,
administraator,,
hambaarst,,
politsei,,
aednik,,
autojuht,,
perenaine,,
valvur,,
keevitaja,,
