ammatti,Uros,Nainen
lääkäri,hän,hän
lääkäri,poika,tytär
työmies,hänen,hänen
luonnonsuojelija,häntä,hänen
kassanhoitaja,isä,äiti
omistaja,mies,nainen
operaattori,poika,tyttö
baarimikko,hän itse,oma itsensä
mekaaninen,Uros,Nainen
maanmittari,veli,sisko
fyysikko,pojat,tyttäriä
koneenkäyttäjä,isät,äidit
arkkitehti,miehet,naiset
valokuvaaja,pojat,tytöt
opettaja,urokset,naaraat
optikko,veljet,sisaret
Millwright,setä,täti
tradesperson,sedät,tädit
myynti,veljenpoika,veljentytär
verhoilija,veljen,nieces
leipuri,,
seppä,,
johtaja,,
tilastotieteilijä,,
ovenvartija,,
urheilija,,
haastemies,,
tanssija,,
ravitsemusterapeutti,,
välittäjä,,
latoja,,
ravitsemusterapeutin,,
kirjailija,,
virkailija,,
viihdyttäjä,,
taloustieteilijä,,
Boilermaker,,
huonekalupuuseppä,,
virallinen,,
kapellimestari,,
sairaanhoitaja,,
portieeri,,
kirjansitoja,,
kemisti,,
tarkastaja,,
sihteeri,,
toimisto-,,
terapeutti,,
professori,,
teknikko,,
myyjä,,
lakimies,,
viljelijä,,
eläinlääkäri,,
sähköasentaja,,
liittyvä,,
talonmies,,
merimies,,
kutoja,,
muusikko,,
waitstaff,,
geologi,,
asettaja,,
psykologi,,
metsuri,,
suunnittelija,,
ohjaaja,,
farmaseutti,,
rappari,,
tuomari,,
Mittaavat,,
seriffi,,
kirjastonhoitaja,,
kirurgi,,
tiedemies,,
jalokivikauppias,,
latoja,,
insinööri,,
puuseppä,,
taiteilija,,
sotilas,,
kirjanpitäjä,,
papisto,,
taidemaalari,,
suutari,,
putkimies,,
muurari,,
kokki,,
valmistelija,,
toimittaja,,
lentäjä,,
kiropraktikko,,
järjestelmänvalvoja,,
hammaslääkäri,,
Poliisi,,
puutarhuri,,
kuljettaja,,
taloudenhoitaja,,
vartija,,
hitsaaja,,
