Occupation,Masculin,femelle
médecin,il,elle
médecin,fils,fille
ouvrier,le sien,la sienne
conservationniste,lui,sa
la caissière,père,mère
propriétaire,homme,femme
opérateur,garçon,fille
barman,lui-même,se
mécanicien,Masculin,femelle
arpenteur,frère,sœur
physicien,fils,filles
machinist,les pères,les mères
architecte,Hommes,femmes
photographe,garçons,les filles
prof,mâles,femelles
optométriste,frères,sœurs
mécanicien de chantier,oncle,tante
homme de métier,oncles,tantes
Ventes,neveu,nièce
tapissier,neveux,nièces
boulanger,,
forgeron,,
directeur,,
statisticien,,
portier,,
athlète,,
huissier,,
Danseur,,
nutritionniste,,
courtier,,
compositeur,,
diététicien,,
auteur,,
employé de bureau,,
artiste,,
économiste,,
chaudronnier,,
ébéniste,,
officiel,,
conducteur,,
infirmière,,
porter,,
relieur,,
chimiste,,
inspecteur,,
secrétaire,,
clérical,,
thérapeute,,
professeur,,
technicien,,
vendeur,,
avocat,,
agriculteur,,
vétérinaire,,
électricien,,
préposé,,
concierge,,
marin,,
tisserand,,
musicien,,
personnel d'attente,,
géologue,,
setter,,
psychologue,,
bûcheron,,
designer,,
instructeur,,
pharmacien,,
plâtrier,,
juge,,
outilleur,,
shérif,,
bibliothécaire,,
chirurgien,,
scientifique,,
bijoutier,,
compositeur,,
ingénieur,,
Charpentier,,
artiste,,
soldat,,
comptable,,
le clergé,,
peintre,,
cordonnier,,
plombier,,
le maçon,,
cuisinier,,
rapporteur pour avis,,
journaliste,,
pilote,,
chiropracteur,,
administrateur,,
dentiste,,
police,,
jardinier,,
chauffeur,,
gouvernante,,
garde,,
soudeur,,
