વ્યવસાય,પુરુષ,સ્ત્રી
ચિકિત્સક,તેમણે,તે
ડ doctorક્ટર,પુત્ર,પુત્રી
મજૂર,તેના,તેના
સંરક્ષણવાદી,તેને,તેણીના
કેશિયર,પિતા,માતા
માલિક,માણસ,સ્ત્રી
ઓપરેટર,છોકરો,છોકરી
દારૂ કે નાસ્તાની દુકાનની નોકરડી,પોતે,પોતાને
મિકેનિક,પુરુષ,સ્ત્રી
સર્વેયર,ભાઈ,બહેન
ભૌતિકશાસ્ત્રી,પુત્રો,પુત્રીઓ
મશિનિસ્ટ,પિતા,માતા
આર્કિટેક્ટ,પુરુષો,સ્ત્રીઓ
ફોટોગ્રાફર,છોકરાઓ,છોકરીઓ
શિક્ષક,નર,સ્ત્રીઓ
ઓપ્ટોમેટ્રિસ્ટ,ભાઈઓ,બહેનો
મિલવરાઇટ,કાકા,કાકી
વેપારીઓ,કાકાઓ,કાકી
વેચાણ,ભત્રીજા,ભત્રીજી
બેઠકમાં ગાદી,ભત્રીજાઓ,ભત્રીજી
બેકર,,
સ્મિથ,,
મેનેજર,,
આંકડાશાસ્ત્રી,,
દરવાજો,,
રમતવીર,,
બેલિફ,,
નૃત્યાંગના,,
ન્યુટ્રિશનિસ્ટ,,
દલાલ,,
ટાઇપસેટર,,
ડાયેટિશિયન,,
લેખક,,
કારકુન,,
મનોરંજન કરનાર,,
અર્થશાસ્ત્રી,,
બોઇલર બનાવનાર,,
કેબિનેટ નિર્માતા,,
અધિકારી,,
વાહક,,
નર્સ,,
કુલી,,
બુકબાઇન્ડર,,
રસાયણશાસ્ત્રી,,
નિરીક્ષક,,
સેક્રેટરી,,
કારકુની,,
ચિકિત્સક,,
પ્રોફેસર,,
ટેકનિશિયન,,
વેચાણકર્તા,,
વકીલ,,
ખેડૂત,,
પશુચિકિત્સા,,
ઇલેક્ટ્રિશિયન,,
પરિચર,,
દરવાન,,
નાવિક,,
વણકર,,
સંગીતકાર,,
રાહ જુઓ,,
ભૂસ્તરશાસ્ત્રી,,
સેટર,,
મનોવિજ્ .ાની,,
લમ્બરજેક,,
ડિઝાઇનર,,
પ્રશિક્ષક,,
ફાર્માસિસ્ટ,,
પ્લાસ્ટરર,,
ન્યાયાધીશ,,
ટૂલમેકર,,
શેરિફ,,
ગ્રંથપાલ,,
સર્જન,,
વૈજ્ઞાનિક,,
ઝવેરી,,
કમ્પોઝિટર,,
ઇજનેર,,
સુથાર,,
કલાકાર,,
સૈનિક,,
એકાઉન્ટન્ટ,,
પાદરીઓ,,
ચિત્રકાર,,
જૂતા બનાવનાર,,
પ્લમ્બર,,
ચણતર,,
રસોઇ,,
ડ્રાફટર્સન,,
ન્યૂઝર્સન,,
પાયલોટ,,
શિરોપ્રેક્ટર,,
એડમિનિસ્ટ્રેટર,,
દંત ચિકિત્સક,,
પોલીસ,,
માળી,,
ડ્રાઈવર,,
ઘરની સંભાળ રાખનાર વ્યક્તિ,,
રક્ષક,,
વેલ્ડર,,
