pendudukan,pria,Perempuan
dokter,dia,dia
dokter,putra,putri
buruh,-nya,dia
konservasionis,dia,-nya
kasir,ayah,ibu
pemilik,manusia,wanita
operator,anak laki-laki,gadis
bartender,diri,diri
montir,pria,Perempuan
surveyor,saudara,saudara
fisikawan,anak laki-laki,anak perempuan
masinis,ayah,ibu
arsitek,laki-laki,perempuan
juru potret,anak laki-laki,perempuan
guru,laki-laki,perempuan
ahli kacamata,kakak beradik,saudara perempuan
millwright,paman,bibi
pedagang,paman,bibi
penjualan,keponakan,keponakan
tukang melapis perabot rumah,keponakan laki-laki,keponakan
tukang roti,,
pandai besi,,
Pengelola,,
ahli statistik,,
penjaga pintu,,
atlet,,
juru sita,,
penari,,
ahli ilmu gizi,,
makelar,,
seter,,
ahli diet,,
penulis,,
juru tulis,,
penghibur,,
ekonom,,
pembuat boiler,,
pembuat kabinet,,
resmi,,
konduktor,,
perawat,,
porter,,
penjilid buku,,
ahli kimia,,
inspektur,,
sekretaris,,
ulama,,
dokter,,
profesor,,
teknisi,,
pramuniaga,,
pengacara,,
petani,,
dokter hewan,,
montir listrik,,
pembantu,,
pesuruh,,
pelaut,,
penenun,,
pemusik,,
pelayan,,
ahli geologi,,
setter,,
psikolog,,
penebang,,
perancang,,
pengajar,,
apoteker,,
tukang plester,,
hakim,,
pembuat perkakas,,
sheriff,,
pustakawan,,
ahli bedah,,
ilmuwan,,
jauhari,,
penyusun huruf,,
insinyur,,
tukang kayu,,
artis,,
tentara,,
akuntan,,
klerus,,
pelukis,,
tukang sepatu,,
tukang ledeng,,
tukang batu,,
memasak,,
juru gambar,,
wartawan,,
pilot,,
chiropractor,,
administrator,,
dokter gigi,,
polisi,,
tukang kebun,,
sopir,,
pengurus rumah,,
menjaga,,
tukang las,,
