occupazione,maschio,femmina
medico,lui,lei
medico,figlio,figlia
lavoratore,il suo,la sua
conservatore,lui,sua
cassiere,padre,madre
titolare,uomo,donna
operatore,ragazzo,ragazza
barista,lui stesso,se stessa
meccanico,maschio,femmina
perito,fratello,sorella
fisico,figli maschi,figlie
macchinista,padri,madri
architetto,uomini,donne
fotografo,ragazzi,ragazze
insegnante,maschi,femmine
optometrista,fratelli,sorelle
millwright,zio,zia
tradesperson,zii,zie
i saldi,nipote,nipote
tappezziere,nipoti,nipoti
panettiere,,
fabbro,,
manager,,
esperto di statistica,,
portinaio,,
atleta,,
ufficiale giudiziario,,
ballerino,,
dietologo,,
broker,,
tipografo,,
dietista,,
autore,,
impiegato,,
intrattenitore,,
economista,,
calderaio,,
ebanista,,
ufficiale,,
conduttore,,
infermiera,,
facchino,,
rilegatore,,
chimico,,
ispettore,,
segretario,,
clericale,,
terapista,,
professoressa,,
tecnico,,
venditore,,
avvocato,,
contadino,,
veterinario,,
elettricista,,
guardiano,,
bidello,,
marinaio,,
tessitore,,
musicista,,
camerieri,,
geologo,,
setter,,
psicologo,,
taglialegna,,
progettista,,
istruttore,,
farmacista,,
intonacatore,,
giudice,,
attrezzista,,
sceriffo,,
bibliotecario,,
chirurgo,,
scienziato,,
gioielliere,,
compositore,,
ingegnere,,
falegname,,
artista,,
soldato,,
contabile,,
clero,,
pittore,,
calzolaio,,
idraulico,,
muratore,,
cucinare,,
relatore per parere,,
Newsperson,,
pilota,,
chiropratico,,
amministratore,,
dentista,,
polizia,,
giardiniere,,
autista,,
governante,,
guardia,,
saldatore,,
