職業,男性,女性
医師,彼,彼女
医師,息子,娘
労働者,彼の,彼女の
保護主義者,彼,彼女
レジ,お父さん,母
所有者,おとこ,女性
オペレーター,男の子,女の子
バーテンダー,彼自身,彼女自身
メカニック,男性,女性
測量士,兄,シスター
物理学者,息子たち,娘たち
機械工,先祖,母親の
建築家,男性,女性たち
写真家,少年たち,女の子
先生,男性,女性たち
検眼医,ブラザーズ,姉妹
ミルライト,おじさん,叔母
商人,おじ,おばさん
販売,甥,姪
室内装飾品,甥の,nie
パン屋,,
スミス,,
マネージャー,,
統計学者,,
ドアキーパー,,
アスリート,,
執行官,,
踊り子,,
栄養士,,
ブローカ,,
タイプセッター,,
栄養士,,
著者,,
店員,,
エンターテイナー,,
エコノミスト,,
ボイラーメーカー,,
家具職人,,
公式,,
導体,,
ナース,,
ポーター,,
製本機,,
化学者,,
検査官,,
秘書,,
事務的な,,
セラピスト,,
教授,,
技術者,,
販売員,,
弁護士,,
農夫,,
獣医,,
電気技師,,
付き添い人,,
管理人,,
船乗り,,
織工,,
音楽家,,
給仕,,
地質学者,,
セッター,,
心理学者,,
木こり,,
デザイナー,,
インストラクター,,
薬剤師,,
左官,,
裁判官,,
道具職人,,
シェリフ,,
司書,,
外科医,,
科学者,,
宝石商,,
コンポジター,,
エンジニア,,
大工,,
アーティスト,,
兵士,,
会計士,,
聖職者,,
画家,,
靴屋,,
配管工,,
石工,,
クック,,
下書き,,
ニュースパーソン,,
パイロット,,
カイロプラクター,,
管理者,,
歯科医,,
警察,,
庭師,,
運転者,,
お手伝いさん,,
ガード,,
溶接機,,
