직업,남성,여자
내과 의사,그,여자
박사님,아들,딸
노동자,그의,그녀
보존 주의자,그를,그녀
출납원,아버지,어머니
소유주,남자,여자
운영자,소년,소녀
바텐더,그 자신,그녀 자신
정비공,남성,여자
감정인,동료,여자 형제
물리학 자,자제,딸들
기계공,아버지,어머니
건축가,남자들,여자들
사진 작가,소년들,소녀들
선생님,수컷,안
검안사,형제,자매
제철소,삼촌,이모
상인,아저씨,이모
매상,조카,조카딸
업 홀스터,조카,조카딸
빵 굽는 사람,,
스미스,,
매니저,,
통계 학자,,
문지기,,
육상 경기 선수,,
집행관,,
춤추는 사람,,
영양사,,
브로커,,
식자공,,
영양사,,
저자,,
서기,,
연예인,,
경제학자,,
보일러 메이커,,
가구 제작자,,
공무원,,
지휘자,,
간호사,,
문지기,,
바인더,,
화학자,,
조사관,,
비서,,
목사,,
치료사,,
교수,,
기술자,,
영업 담당자,,
변호사,,
농장주,,
수의사,,
전공,,
참석자,,
관리인,,
선원,,
직공,,
음악가,,
종업원,,
지질 학자,,
세터,,
심리학자,,
나무꾼,,
디자이너,,
강사,,
제약사,,
미장,,
판사,,
툴 메이커,,
주 장관,,
사서,,
외과 의사,,
과학자,,
보석 세공인,,
식자공,,
공학자,,
목수,,
예술가,,
병사,,
회계사,,
성직,,
화가,,
화공,,
배관공,,
석공,,
쿡,,
초안,,
기자,,
조종사,,
지압 사,,
관리자,,
치과 의사,,
경찰,,
정원사,,
운전사,,
가정부,,
가드,,
용접공,,
