opus,masculum,feminam
medicus,quod,quæ
medicus,filius,filia
laborum operarius præoccupatus,eius,eius
conservationist,eum,eius
CONLECTARIUS,pater,mater
proprietarius,vir,femina
operator,Puer,puella
minister,ipsum,se
mechanicus,masculum,feminam
surveyor,frater,soror
physicus,filii,filiae
machinist,patres,matres
faber,homines,feminae
pretium,pueri,puellae
magister,habueris masculini sexus,feminae
optometrist,fratres,sororibus
cuginone,avunculus,adfinitate coniungitur
tradesperson,habuerit,amita natum
sales,nephew,nepti
upholsterer,nepotes habet:,neptes
alter pistoribus,,
faber ferrarius,,
sit amet,,
statistician,,
Huic ostiarius,,
"athleta,",,
baiulus,,
saltator,,
nutritionist,,
rent,,
typesetter,,
dietitian,,
auctor,,
scriba,,
GENIUS,,
economist,,
Boilermaker,,
cabinetmaker,,
officialis,,
Gloria,,
nutrix,,
ianitor,,
bookbinder,,
pHARMACOPOLA,,
inspectorem,,
scriba,,
clericalem,,
CLINICUS,,
professor,,
technicus,,
salesperson,,
advocatus,,
agricola,,
VETERINARIUS,,
electrician,,
ministrator,,
mutuas janitoris vice,,
nauta,,
liciatorium texentium,,
ille musicus,,
waitstaff,,
geologist,,
Novorum dæmoniorum,,
psychologist,,
LIGNATOR,,
excogitatoris,,
magister,,
pharmacopola,,
albarius,,
iudex,,
toolmaker,,
preceptum,,
librorum,,
medicus,,
physicus,,
lapidarii sculptis,,
compositor,,
fectum,,
Artifex lignarius,,
artifex,,
miles,,
Computantis,,
clerici,,
pictorem,,
sutor,,
PLUMBARIUS,,
trulla cæmentarii,,
coquus,,
draftsperson,,
newsperson,,
gubernator,,
chiropractor,,
administrator,,
dentist,,
magistratus,,
quia hortulanus esset,,
agitator,,
PROMUS,,
praesidio,,
welder,,
