nodarbošanās,vīrietis,sieviete
ārsts,viņš,viņa
ārsts,dēls,meita
strādnieks,viņa,viņas
dabas aizsardzības speciālists,viņu,viņu
kasieris,tēvs,māte
īpašnieks,cilvēks,sieviete
operators,puika,meitene
bārmenis,pats,pati
mehāniķis,vīrietis,sieviete
mērnieks,brālis,māsa
fiziķis,dēli,meitas
mašīnista,tēvi,mātes
arhitekts,vīrieši,sievietes
fotogrāfs,zēni,meitenes
skolotājs,tēviņi,mātītes
optometrists,brāļi,māsas
millwright,tēvocis,tante
tirgotājs,onkuļi,tantes
pārdošanas apjomi,brāļadēls,brāļameita
polsterētājs,brāļadēli,brāļameitas
cepējs,,
kalējs,,
menedžeris,,
statistiķis,,
durvju sargs,,
sportists,,
tiesu izpildītājs,,
dejotājs,,
uztura speciālists,,
brokeris,,
mašīnrakstītājs,,
dietologs,,
autore,,
lietvedis,,
izklaidētājs,,
ekonomists,,
katlu ražotājs,,
skapītis,,
ierēdnis,,
diriģents,,
medmāsa,,
nesējs,,
grāmatu iesiešana,,
ķīmiķis,,
inspektors,,
sekretāre,,
lietvedība,,
terapeits,,
profesors,,
tehniķis,,
pārdevējs,,
advokāts,,
zemnieks,,
veterinārārsts,,
elektriķis,,
pavadonis,,
sētnieks,,
jūrnieks,,
audēja,,
mūziķis,,
oficiants,,
ģeologs,,
seters,,
psihologs,,
zāģis,,
dizainere,,
instruktors,,
farmaceits,,
apmetējs,,
tiesnesis,,
instrumentu ražotājs,,
šerifs,,
bibliotekārs,,
ķirurgs,,
zinātnieks,,
juvelieris,,
komponists,,
inženieris,,
galdnieks,,
mākslinieks,,
kareivis,,
grāmatvedis,,
garīdznieki,,
gleznotājs,,
kurpnieks,,
santehniķis,,
mūrnieks,,
pavārs,,
atzinuma sagatavotājs,,
ziņupersona,,
pilots,,
chiropractor,,
administrators,,
zobārsts,,
policija,,
dārznieks,,
šoferis,,
saimniece,,
sargs,,
metinātājs,,
