okupacija,Patinas,Moteris
gydytojas,jis,ji
gydytojas,sūnus,dukra
darbininkas,jo,jos
gamtosaugininkas,jį,jos
kasininkas,tėvas,motina
savininkas,vyras,moteris
operatorius,berniukas,mergina
barmenas,jis pats,pati
mechanikas,Patinas,Moteris
matininkas,brolis,sesuo
fizikas,sūnūs,dukros
mašinistas,tėvus,motinos
architektas,vyrai,moterys
Fotografas,berniukai,merginos
mokytojas,patinai,patelės
optometristas,broliai,seserys
milwright,dėdė,teta
prekybininkas,dėdės,tetos
pardavimai,sūnėnas,dukterėčia
apmušalas,sūnėnai,dukterėčios
kepėjas,,
Kalvis,,
vadybininkas,,
statistikas,,
durininkas,,
sportininkas,,
antstolis,,
šokėja,,
dietologas,,
brokeris,,
spausdintuvas,,
dietologas,,
autorius,,
tarnautojas,,
linksmintojas,,
ekonomistas,,
katilininkas,,
stalius,,
oficialus,,
dirigentas,,
slaugytoja,,
nešėjas,,
knygrišykla,,
chemikas,,
inspektorius,,
sekretorė,,
kanceliarinis,,
terapeutas,,
profesorius,,
technikas,,
pardavėjas,,
teisininkas,,
ūkininkas,,
veterinaras,,
elektrikas,,
palydovas,,
Durininkas,,
jūreivis,,
audėja,,
muzikantas,,
laukiamieji,,
geologas,,
seteris,,
psichologas,,
sunkvežimis,,
dizaineris,,
instruktorius,,
vaistininkas,,
tinkuotojas,,
teisėjas,,
įrankių gamintojas,,
šerifas,,
bibliotekininkas,,
chirurgas,,
mokslininkas,,
juvelyras,,
kompozitorius,,
inžinierius,,
dailidė,,
menininkas,,
kareivis,,
buhalterė,,
dvasininkai,,
dailininkas,,
batsiuvys,,
santechnikas,,
mūrininkas,,
virėjas,,
nuomonės referentas,,
laikraštininkas,,
pilotas,,
chiropraktikas,,
administratorius,,
odontologas,,
policija,,
sodininkas,,
vairuotojas,,
namų tvarkytoja,,
apsauga,,
suvirintojas,,
