Besetzung,männlech,weiblech
Dokter,hien,hatt
Dokter,Jong,Duechter
Aarbechter,sengem,hir
konservativist,him,hirem
Keesseberäich,Papp,Mamm
Proprietaire,Mann,Fra
Bedreiwer,Jong,Meedchen
Bartenders,selwer,selwer
Mecanicien,männlech,weiblech
Ëmfro,Brudder,Schwëster
Physiker,Jongen,Meedercher
Maschinist,Pappen,Mammen
Architekt,Männer,Fraen
Fotograf,Jongen,Meedercher
Schoulmeeschter,Männercher,Weibercher
optometrist,Bridder,Schwësteren
millwright,Monni,tant
Handelsmann,Monni,aunts
Verkaf,Neveu,Niess
upholsterer,Neveuen,Nuechten
Bäcker,,
smid,,
Manager,,
statistician,,
Dierhändler,,
Sportler,,
Geriichtsvollzéier,,
Dänzer,,
Ernärter,,
broker,,
typetter,,
dietitian,,
Auteur,,
Clerk,,
Entertainer,,
Ekonomist,,
Kesselmaacher,,
Schrëftsteller,,
offiziell,,
Dirigent,,
Infirmière,,
Porter,,
bookbinder,,
Chemiker,,
Inspekter,,
Sekretär,,
klerikal,,
Therapeut,,
Professer,,
Techniker,,
Verkeeferin,,
Affekot,,
boer,,
veterinaire,,
Elektriker,,
Begleetpersoun,,
Gewiichter,,
Séifuer,,
weaver,,
Museker,,
Waardestaff,,
geolog,,
setter,,
Psycholog,,
houthocker,,
Designer,,
Instruktor,,
Apdikter,,
Plooschter,,
Riichter,,
Handwierksgeschir,,
Sheriff,,
Bibliothekarin,,
Chirurg,,
Wëssenschaftler,,
Bijouterie,,
Komponist,,
Ingenieur,,
Schräiner,,
Kënschtler,,
Zaldot,,
Comptabel,,
Klerus,,
Moler,,
Schouster,,
Plooschter,,
Steemetzer,,
kachen,,
Zeechner,,
Zeitung,,
Pilot,,
chiropraktiker,,
Administrator,,
Zänndokter,,
Police,,
Gärtner,,
Chauffer,,
Haushälterin,,
garde,,
welder,,
